Company,description
,
Accenture,IT Services and IT Consulting
,
ACI,Construction
,
ACTIS,Financial Services
,
Adobe,Software Development
,
AEFA,Financial Services
,
Affinity,Business Consulting and Services
,
Altisource,Real Estate
,
Amazon,"Technology, Information and Internet"
,
Amdocs,Telecommunications
,
Aptara,Book and Periodical Publishing
,
Asurion,IT Services and IT Consulting
,
ATMT,Financial Services
,
BMC,Civil Engineering
,
Buzzle,IT Services and IT Consulting
,
Capgemini,IT Services and IT Consulting
,
CarPro,Truck Transportation
,
Celio,Retail
,
Cisco,Software Development
,
CREDIT-SUISSE,Banking
,
CRiMson,IT Services and IT Consulting
,
ECS,Business Consulting and Services
,
Elba,Non-profit Organizations
,
Enbridge,Oil and Gas
,
Episys,Software Development
,
EPRS,Medical Equipment Manufacturing
,
Ernst,Design Services
,
Falcon,Retail Office Equipment
,
FDCS,"Transportation, Logistics, Supply Chain and Storage"
,
Google,"Technology, Information and Internet"
,
GSI,Staffing and Recruiting
,
Harbinger,"Technology, Information and Internet"
,
HP,IT Services and IT Consulting
,
HSBC,Financial Services
,
Hydra,Advertising Services
,
I-Valuebridge,Software Development
,
IBM,IT Services and IT Consulting
,
Infoservices,IT Services and IT Consulting
,
Infosys,IT Services and IT Consulting
,
IRIS,Advertising Services
,
ISL,Software Development
,
JLT,Graphic Design
,
Kalpataru,Human Resources Services
,
Mccann,Advertising Services
,
Medline,Wellness and Fitness Services
,
Metadesign,Design Services
,
MetrixLine,IT Services and IT Consulting
,
Netezza,Computer Hardware Manufacturing
,
Nichetech,IT Services and IT Consulting
,
PMC,Business Consulting and Services
,
Quinstreet,Advertising Services
,
Radix,Software Development
,
Redigital,Advertising Services
,
Reliance,Oil and Gas
,
Samcom,Retail Office Equipment
,
SAOC,Hospitals and Health Care
,
Sapphire,IT Services and IT Consulting
,
SELA,Events Services
,
SensorLab,Non-profit Organizations
,
SES,Telecommunications
,
SherPaz,Human Resources Services
,
Siddhtech,IT Services and IT Consulting
,
Simplexity,"Technology, Information and Internet"
,
SITA,IT Services and IT Consulting
,
Sungrace,IT Services and IT Consulting
,
Symphony,Philanthropic Fundraising Services
,
Synechron,Financial Services
,
Synerzip,Software Development
,
Syntel,IT Services and IT Consulting
,
Tangoe,IT Services and IT Consulting
,
Technosys,Software Development
,
Teradata,IT Services and IT Consulting
,
Thales,IT Services and IT Consulting
,
TIE,Investment Banking
,
Tieto,IT Services and IT Consulting
,
Torrent,Advertising Services
,
Twitter,"Technology, Information and Internet"
,
Uniscan,Security and Investigations
,
Venetian,Accounting
,
Vodafone,Telecommunications
,
Wipro,IT Services and IT Consulting
,
Xchange,Venture Capital and Private Equity Principals
,
Xento,IT Services and IT Consulting
,
Xpanxion,IT Services and IT Consulting
,
XTPL,Nanotechnology Research
,
SQTL,IT Services and IT Consulting
,
Tresensa,Advertising Services
,
Codewalla,Software Development
,
Avaya,IT Services and IT Consulting
,
Xyratex,Computer Hardware Manufacturing
,
Webquest,Design Services
,
ESDS,IT Services and IT Consulting
,
AXA,Insurance
,
Siemens,Automation Machinery Manufacturing
,
Zensar,IT Services and IT Consulting
,
Fujitsu,IT Services and IT Consulting
,
Microsoft,Software Development
,
CREE,Semiconductor Manufacturing
,
EXFO,Telecommunications
,
Icertis,IT Services and IT Consulting
,
Fulcrum,Software Development
,
UTV,Entertainment Providers
,
ADP,Human Resources Services
,
e-touch,IT Services and IT Consulting
,
eTouch,"Technology, Information and Internet"
,
Tranter,Machinery Manufacturing
,
Regenersis,Consumer Services
,
micromax,IT Services and IT Consulting
,
CRISP,Education Administration Programs
,
Hexaware,IT Services and IT Consulting
,
HDFC,Financial Services
,
T-systems,IT Services and IT Consulting
,
ATG,Software Development
,
Endeca,Software Development
,
Nickelodeon,Broadcast Media Production and Distribution
,
Pfizer,Pharmaceutical Manufacturing
,
Abbott,Retail Health and Personal Care Products
,
BAL,Utilities
,
eNovate,Human Resources Services
,
Technosoft,IT Services and IT Consulting
,
Kinesis,Advertising Services
,
Clarice,Retail
,
Kmart,Retail
,
SUNGARD,IT Services and IT Consulting
,
SHI,Wholesale
,
TIBCO,Software Development
,
Roebuck,Market Harborough
,
SHLD,Civic and Social Organizations
,
Futurism,Online Audio and Video Media
,
KPMG,Accounting
,
Extentia,IT Services and IT Consulting
,
Mu-Sigma,Business Consulting and Services
,
Silicus,IT Services and IT Consulting
,
Sapient,IT Services and IT Consulting
,
Tangence,Advertising Services
,
Kenworth,Facilities Services
,
Juniper,Travel Arrangements
,
Morningstar,Financial Services
,
AnkTech,IT Services and IT Consulting
,
Agiliad,Software Development
,
Douc,"Movies, Videos, and Sound"
,
WITS,Computer Hardware Manufacturing
,
AudienceScience,"Technology, Information and Internet"
,
Pearson,Education
,
Rockwell,Truck Transportation
,
cognizant,IT Services and IT Consulting
,
TBI,Construction
,
Paradigm,Design Services
,
Electrica,Utilities
,
Mphasis,IT Services and IT Consulting
,
Clarion,"Appliances, Electrical, and Electronics Manufacturing"
,
Dynamisch,IT Services and IT Consulting
,
NEWGEN,Software Development
,
CitiusTech,IT Services and IT Consulting
,
Xoriant,IT Services and IT Consulting
,
Zobble,E-Learning Providers
,
L&T,Facilities Services
,
AXIS,Advertising Services
,
DataMetica,IT Services and IT Consulting
,
ATT,Telecommunications
,
EdgeVerve,Software Development
,
Crest,"Appliances, Electrical, and Electronics Manufacturing"
,
Prokarma,IT Services and IT Consulting
,
CredR,Motor Vehicle Manufacturing
,
LFG,IT Services and IT Consulting
,
GSB,IT Services and IT Consulting
,
RCB,Investment Banking
,
Telco,Telecommunications
,
Finicity,Financial Services
,
Infostretch,IT Services and IT Consulting
,
Equinix,"Technology, Information and Internet"
,
