,source,target
0,Administrator,head
1,testers,inquirer
2,Trainee,novice
3,DevOps,None
4,SQL Developer and Support,None
5,Project engineer,None
6,CEO,corporate executive
7,CTO,None
8,DB Consultant,None
9,admin,None
10,Analayst,None
11,UI Designer,None
12,Front End Developer,None
13,Software Engineer,None
14,Test Engineer,None
15,Associate,peer
16,Team Leader,None
17,IOS Devloper,None
18,QEA,None
19,QA,None
20,Trainee Engineer,None
21,Programmer Analyst,None
22,Senior Software Engineer,None
23,System Analyst,None
24,Project Lead,None
25,Project Manager,None
26,Program Manager,None
27,Doctor,medical practitioner
28,Manager,administrator
29,Web Developer,None
30,Senior Software Eng,None
31,Senior Software Engineer,None
32,Deployer,None
33,Sys Admin,None
34,Architect,creator
35,Developer,creator
36,CSO,None
37,QA,None
38,Software Lead,None
39,Consulatant,None
40,Engineer,person
41,Project Engineer,None
42,Java developer,None
43,lecturer,educator
44,Team Lead,None
45,Data Architect ,None
46,Software Developer,None
47,Mean Stack Developer,None
48,Oracle SQL Developer,None
49,ANIMATOR,actor
50,ENTREPRENEUR,businessperson
51,Support Engineer,None
52,Process Associate,None
53,Project Leader,None
54,Cloud DevOps Engineer,None
55,Junior Software Developer,None
56,SQL Data Analyst,None
57,Dot Net Developer Trainee,None
58,Test Lead,None
59,Senior Software Engineer,None
60,Associate Consultant,None
61,Senior Analyst,None
62,GS Cultural Secretary,None
63,Report analyst,None
64,Technical support manager,None
65,Systems engineer,None
66,Graduate engineer,None
67,Test engineer,None
68,Software engineer,None
69,Team leader,None
70,Team manager,None
71,Operations manager,None
72,Accountant,businessperson
73,Marketing manager,None
74,HR,time unit
75,Data scientist,None
