,source,target
0,Administrator,None
1,testers,None
2,Trainee,None
3,DevOps,None
4,SQL Developer and Support,None
5,Project engineer,None
6,CEO,None
7,CTO,None
8,DB Consultant,None
9,admin,None
10,Analayst,None
11,UI Designer,None
12,Front End Developer,None
13,Software Engineer,None
14,Test Engineer,None
15,Associate,None
16,Team Leader,None
17,IOS Devloper,None
18,QEA,None
19,QA,None
20,Trainee Engineer,None
21,Programmer Analyst,None
22,Senior Software Engineer,None
23,System Analyst,None
24,Project Lead,None
25,Project Manager,None
26,Program Manager,None
27,Doctor,None
28,Manager,None
29,Web Developer,None
30,Senior Software Eng,None
31,Senior Software Engineer,None
32,Deployer,None
33,Sys Admin,None
34,Architect,None
35,Developer,None
36,CSO,None
37,QA,None
38,Software Lead,None
39,Consulatant,None
40,Engineer,None
41,Project Engineer,None
42,Java developer,None
43,lecturer,None
44,Team Lead,None
45,Data Architect ,None
46,Software Developer,None
47,Mean Stack Developer,None
48,Oracle SQL Developer,None
49,ANIMATOR,None
50,ENTREPRENEUR,None
51,Support Engineer,None
52,Process Associate,None
53,Project Leader,None
54,Cloud DevOps Engineer,None
55,Junior Software Developer,None
56,SQL Data Analyst,None
57,Dot Net Developer Trainee,None
58,Test Lead,None
59,Senior Software Engineer,None
60,Associate Consultant,None
61,Senior Analyst,None
62,GS Cultural Secretary,None
63,Report analyst,None
64,Technical support manager,None
65,Systems engineer,None
66,Graduate engineer,None
67,Test engineer,None
68,Software engineer,None
69,Team leader,None
70,Team manager,None
71,Operations manager,None
72,Accountant,None
73,Marketing manager,None
74,HR,None
75,Data scientist,None
