,source,target
0,AECOM , Albert Einstein College of Medicine
1,AFA , United States Air Force Academy
2,Annapolis , U.S. Naval Academy
3,A&M ," Texas A&M University, but also others; see A&M"
4,A&T , North Carolina A&T State University
5,Newport News , Apprentice School
6,APSU , Austin Peay State University
7,ALASU , Alabama State University
8,Army , U.S. Military Academy
9,ASU ," Alabama State University, Albany State University, Alcorn State University, Angelo State University, Appalachian State University, Arizona State University, Arkansas State University, Augusta State University, Armstrong State University"
10,AU ," Adelphi University, Alfred University, American University, Anderson University, Asbury University, Auburn University, Ashford University, Arcadia University, Augusta University"
11,AUM , Auburn University Montgomery
12,Bama , University of Alabama
13,BC ," Boston College, Bethel College"
14,BCC - Bronx Community College,
15,Berkeley ," University of California, Berkeley"
16,BGSU , Bowling Green State University
17,BHSU , Black Hills State University
18,BJU , Bob Jones University
19,BMC , Bryn Mawr College
20,Bona , St. Bonaventure University
21,Brown , Brown University
22,BSC , Birmingham-Southern College
23,BSU ," Ball State University, Boise State University, Bemidji State University, Bowie State University"
24,BU ," Barry University Baylor University, Belmont University, Binghamton University, Biola University, Boston University, Bradley University, Butler University, Bucknell University"
25,BYU , Brigham Young University
26,CBU , California Baptist University
27,C of C , College of Charleston
28,Cal ," University of California, Berkeley"
29,Cal Poly ," California Polytechnic State University, San Luis Obispo"
30,Cal Poly Pomona ," California State Polytechnic University, Pomona"
31,Caltech , California Institute of Technology
32,Cal U or CUP , California University of Pennsylvania
33,Cal State , California State University (various campuses)
34,Carolina ," University of North Carolina at Chapel Hill, University of South Carolina"
35,Catholic , Catholic University of America
36,Central ," Central State University, North Carolina Central University"
37,CC , Colorado College
38,CCNY , City College of New York
39,CCSU , Central Connecticut State University
40,CCU , Coastal Carolina University
41,CCV , Community College of Vermont
42,CGU , Claremont Graduate University
43,Chapel Hill , University of North Carolina at Chapel Hill
44,Charlotte , University of North Carolina at Charlotte
45,Chatt or Chattanooga , University of Tennessee at Chattanooga
46,Chatt State , Chattanooga State Community College
47,Chico State ," California State University, Chico"
48,City Tech , New York City College of Technology
49,CIA , The Culinary Institute of America
50,CMC , Claremont McKenna College
51,CMU ," Carnegie Mellon University, Central Michigan University"
52,CNU , Christopher Newport University
53,Coast Guard , United States Coast Guard Academy
54,College Park ," University of Maryland, College Park"
55,Colorado , University of Colorado Boulder
56,Colorado Springs , University of Colorado Colorado Springs
57,Conn , Connecticut College
58,CSB/SJU , College of Saint Benedict/Saint John's University
59,CSE , College of Saint Elizabeth
60,CSI , College of Staten Island
61,CSU ," California State University, Cleveland State University, Colorado State University, Clayton State University, Coppin State University, Clark Summit University, Chicago State University"
62,CSUF ," California State University, Fresno"
63,CSUEB ," California State University, East Bay (formerly California State University, Hayward)"
64,CSULA ," California State University, Los Angeles"
65,CSULB ," California State University, Long Beach"
66,CSU-Pueblo , Colorado State University-Pueblo
67,CSUS ," California State University, Sacramento"
68,CU ," Chapman University, Clemson University, University of Colorado at Boulder, University of Colorado system, Columbia University, Concord University, Cornell University, Creighton University"
69,CUA , Catholic University of America
70,Cumberlands , University of the Cumberlands
71,CUNY , City University of New York
72,DBU , Daybreak University
73,DC ," Dartmouth College, Davidson College"
74,De Anza , De Anza College
75,DPU , DePaul University
76,DSU ," DeSales University, Dakota State University"
77,DU ," Denison University, University of Denver, Drake University, Drexel University, Duke University, Duquesne University"
78,Duke , Duke University
79,ECU , East Carolina University
80,EIU , Eastern Illinois University
81,EMU , Eastern Mennonite University
82,EMU , Eastern Michigan University
83,ENC , Eastern Nazarene College
84,ETBU - East Texas Baptist University,
85,ETSU , East Tennessee State University
86,EWU , Eastern Washington University
87,EKU , Eastern Kentucky University
88,F&M , Franklin & Marshall College
89,FAMU , Florida A&M University
90,FAU , Florida Atlantic University
91,FDU , Fairleigh Dickinson University
92,FGCU , Florida Gulf Coast University
93,FIT , Fashion Institute of Technology
94,Florida Tech , Florida Institute of Technology
95,FIU , Florida International University
96,Foothill , Foothill College
97,FPU , Fresno Pacific University
98,Fresno State ," California State University, Fresno"
99,FSU ," Fayetteville State University, Ferris State University, Fitchburg State University, Florida State University, Framingham State University, California State University, Fresno, Frostburg State University"
100,FU ," Fordham University, Furman University"
101,GAC - Gustavus Adolphus College,
102,GC&SU or GCSU , Georgia College & State University
103,GCU , Grand Canyon University
