"Source","Destination","Relation"
"Company","description","""type of company"""
"Accenture","IT Services and IT Consulting","""type of company"""
"ACI","Construction","""type of company"""
"ACTIS","Financial Services","""type of company"""
"Adobe","Software Development","""type of company"""
"AEFA","Financial Services","""type of company"""
"Affinity","Business Consulting and Services","""type of company"""
"Altisource","Real Estate","""type of company"""
"Amazon","Technology, Information and Internet","""type of company"""
"Amdocs","Telecommunications","""type of company"""
"Aptara","Book and Periodical Publishing","""type of company"""
"Asurion","IT Services and IT Consulting","""type of company"""
"ATMT","Financial Services","""type of company"""
"BMC","Civil Engineering","""type of company"""
"Buzzle","IT Services and IT Consulting","""type of company"""
"Capgemini","IT Services and IT Consulting","""type of company"""
"CarPro","Truck Transportation","""type of company"""
"Celio","Retail","""type of company"""
"Cisco","Software Development","""type of company"""
"CREDIT-SUISSE","Banking","""type of company"""
"CRiMson","IT Services and IT Consulting","""type of company"""
"ECS","Business Consulting and Services","""type of company"""
"Elba","Non-profit Organizations","""type of company"""
"Enbridge","Oil and Gas","""type of company"""
"Episys","Software Development","""type of company"""
"EPRS","Medical Equipment Manufacturing","""type of company"""
"Ernst","Design Services","""type of company"""
"Falcon","Retail Office Equipment","""type of company"""
"FDCS","Transportation, Logistics, Supply Chain and Storage","""type of company"""
"Google","Technology, Information and Internet","""type of company"""
"GSI","Staffing and Recruiting","""type of company"""
"Harbinger","Technology, Information and Internet","""type of company"""
"HP","IT Services and IT Consulting","""type of company"""
"HSBC","Financial Services","""type of company"""
"Hydra","Advertising Services","""type of company"""
"I-Valuebridge","Software Development","""type of company"""
"IBM","IT Services and IT Consulting","""type of company"""
"Infoservices","IT Services and IT Consulting","""type of company"""
"Infosys","IT Services and IT Consulting","""type of company"""
"IRIS","Advertising Services","""type of company"""
"ISL","Software Development","""type of company"""
"JLT","Graphic Design","""type of company"""
"Kalpataru","Human Resources Services","""type of company"""
"Mccann","Advertising Services","""type of company"""
"Medline","Wellness and Fitness Services","""type of company"""
"Metadesign","Design Services","""type of company"""
"MetrixLine","IT Services and IT Consulting","""type of company"""
"Netezza","Computer Hardware Manufacturing","""type of company"""
"Nichetech","IT Services and IT Consulting","""type of company"""
"PMC","Business Consulting and Services","""type of company"""
"Quinstreet","Advertising Services","""type of company"""
"Radix","Software Development","""type of company"""
"Redigital","Advertising Services","""type of company"""
"Reliance","Oil and Gas","""type of company"""
"Samcom","Retail Office Equipment","""type of company"""
"SAOC","Hospitals and Health Care","""type of company"""
"Sapphire","IT Services and IT Consulting","""type of company"""
"SELA","Events Services","""type of company"""
"SensorLab","Non-profit Organizations","""type of company"""
"SES","Telecommunications","""type of company"""
"SherPaz","Human Resources Services","""type of company"""
"Siddhtech","IT Services and IT Consulting","""type of company"""
"Simplexity","Technology, Information and Internet","""type of company"""
"SITA","IT Services and IT Consulting","""type of company"""
"Sungrace","IT Services and IT Consulting","""type of company"""
"Symphony","Philanthropic Fundraising Services","""type of company"""
"Synechron","Financial Services","""type of company"""
"Synerzip","Software Development","""type of company"""
"Syntel","IT Services and IT Consulting","""type of company"""
"Tangoe","IT Services and IT Consulting","""type of company"""
"Technosys","Software Development","""type of company"""
"Teradata","IT Services and IT Consulting","""type of company"""
"Thales","IT Services and IT Consulting","""type of company"""
"TIE","Investment Banking","""type of company"""
"Tieto","IT Services and IT Consulting","""type of company"""
"Torrent","Advertising Services","""type of company"""
"Twitter","Technology, Information and Internet","""type of company"""
"Uniscan","Security and Investigations","""type of company"""
"Venetian","Accounting","""type of company"""
"Vodafone","Telecommunications","""type of company"""
"Wipro","IT Services and IT Consulting","""type of company"""
