,Destination,Relation,_,Source
0,Company,description,"""type of company""",Company
1,Accenture,IT Services and IT Consulting,"""type of company""",Company
2,ACI,Construction,"""type of company""",Company
3,ACTIS,Financial Services,"""type of company""",Company
4,Adobe,Software Development,"""type of company""",Company
5,AEFA,Financial Services,"""type of company""",Company
6,Affinity,Business Consulting and Services,"""type of company""",Company
7,Altisource,Real Estate,"""type of company""",Company
8,Amazon,"Technology, Information and Internet","""type of company""",Company
9,Amdocs,Telecommunications,"""type of company""",Company
10,Aptara,Book and Periodical Publishing,"""type of company""",Company
11,Asurion,IT Services and IT Consulting,"""type of company""",Company
12,ATMT,Financial Services,"""type of company""",Company
13,BMC,Civil Engineering,"""type of company""",Company
14,Buzzle,IT Services and IT Consulting,"""type of company""",Company
15,Capgemini,IT Services and IT Consulting,"""type of company""",Company
16,CarPro,Truck Transportation,"""type of company""",Company
17,Celio,Retail,"""type of company""",Company
18,Cisco,Software Development,"""type of company""",Company
19,CREDIT-SUISSE,Banking,"""type of company""",Company
20,CRiMson,IT Services and IT Consulting,"""type of company""",Company
21,ECS,Business Consulting and Services,"""type of company""",Company
22,Elba,Non-profit Organizations,"""type of company""",Company
23,Enbridge,Oil and Gas,"""type of company""",Company
24,Episys,Software Development,"""type of company""",Company
25,EPRS,Medical Equipment Manufacturing,"""type of company""",Company
26,Ernst,Design Services,"""type of company""",Company
27,Falcon,Retail Office Equipment,"""type of company""",Company
28,FDCS,"Transportation, Logistics, Supply Chain and Storage","""type of company""",Company
29,Google,"Technology, Information and Internet","""type of company""",Company
30,GSI,Staffing and Recruiting,"""type of company""",Company
31,Harbinger,"Technology, Information and Internet","""type of company""",Company
32,HP,IT Services and IT Consulting,"""type of company""",Company
33,HSBC,Financial Services,"""type of company""",Company
34,Hydra,Advertising Services,"""type of company""",Company
35,I-Valuebridge,Software Development,"""type of company""",Company
36,IBM,IT Services and IT Consulting,"""type of company""",Company
37,Infoservices,IT Services and IT Consulting,"""type of company""",Company
38,Infosys,IT Services and IT Consulting,"""type of company""",Company
39,IRIS,Advertising Services,"""type of company""",Company
40,ISL,Software Development,"""type of company""",Company
41,JLT,Graphic Design,"""type of company""",Company
42,Kalpataru,Human Resources Services,"""type of company""",Company
43,Mccann,Advertising Services,"""type of company""",Company
44,Medline,Wellness and Fitness Services,"""type of company""",Company
45,Metadesign,Design Services,"""type of company""",Company
46,MetrixLine,IT Services and IT Consulting,"""type of company""",Company
47,Netezza,Computer Hardware Manufacturing,"""type of company""",Company
48,Nichetech,IT Services and IT Consulting,"""type of company""",Company
49,PMC,Business Consulting and Services,"""type of company""",Company
50,Quinstreet,Advertising Services,"""type of company""",Company
51,Radix,Software Development,"""type of company""",Company
52,Redigital,Advertising Services,"""type of company""",Company
53,Reliance,Oil and Gas,"""type of company""",Company
54,Samcom,Retail Office Equipment,"""type of company""",Company
55,SAOC,Hospitals and Health Care,"""type of company""",Company
56,Sapphire,IT Services and IT Consulting,"""type of company""",Company
57,SELA,Events Services,"""type of company""",Company
58,SensorLab,Non-profit Organizations,"""type of company""",Company
59,SES,Telecommunications,"""type of company""",Company
60,SherPaz,Human Resources Services,"""type of company""",Company
61,Siddhtech,IT Services and IT Consulting,"""type of company""",Company
62,Simplexity,"Technology, Information and Internet","""type of company""",Company
63,SITA,IT Services and IT Consulting,"""type of company""",Company
64,Sungrace,IT Services and IT Consulting,"""type of company""",Company
65,Symphony,Philanthropic Fundraising Services,"""type of company""",Company
