,source,target
0,Building,building
1,Building,edifice
2,Building,construction
3,Building,building
4,Building,construction
5,Building,building
6,Building,building
7,Building,construct
8,Building,build
9,Building,make
10,Building,build_up
11,Building,work_up
12,Building,build
13,Building,progress
14,Building,build
15,Building,establish
16,Building,build
17,Building,build
18,Building,build
19,Building,build
20,Building,build
21,Building,build_up
22,Building,work_up
23,Building,build
24,Building,ramp_up
25,Building,build
26,Road,road
27,Road,route
28,Road,road
29,Society,society
30,Society,club
31,Society,social_club
32,Society,society
33,Society,guild
34,Society,gild
35,Society,lodge
36,Society,order
37,Society,company
38,Society,companionship
39,Society,fellowship
40,Society,society
41,Society,society
42,Society,high_society
43,Society,beau_monde
44,Society,smart_set
45,Society,bon_ton
46,Residency,residency
47,Residency,residence
48,Residency,abidance
49,Residency,residency
50,Street,street
51,Street,street
52,Street,street
53,Street,street
54,Street,street
55,wing,wing
56,wing,wing
57,wing,wing
58,wing,offstage
59,wing,backstage
60,wing,wing
61,wing,flank
62,wing,wing
63,wing,wing
64,wing,wing
65,wing,wing
66,wing,wing
67,wing,fender
68,wing,wing
69,wing,annex
70,wing,annexe
71,wing,extension
72,wing,wing
73,wing,fly
74,wing,wing
75,Plot,plot
76,Plot,secret_plan
77,Plot,game
78,Plot,plot
79,Plot,plot_of_land
80,Plot,plot_of_ground
81,Plot,patch
82,Plot,plot
83,Plot,plot
84,Plot,plot
85,Plot,diagram
86,Plot,plot
87,Plot,plat
88,Plot,plot
89,Plot,plot
90,Colony,colony
91,Colony,settlement
92,Colony,colony
93,Colony,Colony
94,Colony,colony
95,Colony,colony
96,Colony,dependency
97,Colony,colony
98,Layout,layout
99,Layout,layout
100,House,house
101,House,firm
102,House,house
103,House,business_firm
104,House,house
105,House,house
106,House,house
107,House,house
108,House,house
109,House,sign_of_the_zodiac
110,House,star_sign
111,House,sign
112,House,mansion
113,House,house
114,House,planetary_house
115,House,house
116,House,family
117,House,household
118,House,house
119,House,home
120,House,menage
121,House,theater
122,House,theatre
123,House,house
124,House,house
125,House,house
126,House,house
127,House,put_up
128,House,domiciliate
129,Home,home
130,Home,place
131,Home,dwelling
132,Home,home
133,Home,domicile
134,Home,abode
135,Home,habitation
136,Home,dwelling_house
137,Home,home
138,Home,home_plate
139,Home,home_base
140,Home,home
141,Home,plate
142,Home,base
143,Home,home
144,Home,home
145,Home,home
146,Home,family
147,Home,household
148,Home,house
149,Home,home
150,Home,menage
151,Home,home
152,Home,nursing_home
153,Home,rest_home
154,Home,home
155,Home,home
156,Home,home
157,Home,home
158,Home,home
159,Home,interior
160,Home,internal
161,Home,national
162,Home,home
163,Home,home
164,Home,home
165,highway,highway
166,highway,main_road
167,township,township
168,township,town
169,floor,floor
170,floor,flooring
171,floor,floor
172,floor,level
173,floor,storey
174,floor,story
175,floor,floor
176,floor,base
177,floor,floor
178,floor,floor
179,floor,floor
180,floor,floor
181,floor,floor
182,floor,floor
183,floor,floor
184,floor,trading_floor
185,floor,shock
186,floor,floor
187,floor,ball_over
188,floor,blow_out_of_the_water
189,floor,take_aback
190,floor,deck
191,floor,coldcock
192,floor,dump
193,floor,knock_down
194,floor,floor
195,bungalows,bungalow
196,bungalows,cottage
197,Housing,housing
198,Housing,lodging
199,Housing,living_accommodations
200,Housing,housing
201,Housing,caparison
202,Housing,trapping
203,Housing,housing
204,Housing,house
205,Housing,house
206,Housing,put_up
207,Housing,domiciliate
208,Daffodils,daffodil
209,Daffodils,Narcissus_pseudonarcissus
210,Regent,regent
211,Regent,trustee
212,Regent,regent
213,Regent,regent
214,Park,park
215,Park,parkland
216,Park,park
217,Park,commons
218,Park,common
219,Park,green
220,Park,ballpark
221,Park,park
222,Park,Park
223,Park,Mungo_Park
224,Park,parking_lot
225,Park,car_park
226,Park,park
227,Park,parking_area
228,Park,park
229,Park,park
230,Park,park
231,Hostel,hostel
232,Hostel,hostelry
233,Hostel,inn
234,Hostel,lodge
235,Hostel,auberge
236,Hostel,hostel
237,Hostel,youth_hostel
238,Hostel,student_lodging
239,Room,room
240,Room,room
241,Room,way
242,Room,elbow_room
243,Room,room
244,Room,room
245,Room,board
246,Room,room
247,Village,village
248,Village,small_town
249,Village,settlement
250,Village,village
251,Village,hamlet
252,Village,Greenwich_Village
253,Village,Village
254,Flat,flat
255,Flat,flat
256,Flat,flat
257,Flat,flatcar
258,Flat,flatbed
259,Flat,flat
260,Flat,flat
261,Flat,flat_tire
262,Flat,flat
263,Flat,apartment
264,Flat,flat
265,Flat,flat
266,Flat,level
267,Flat,plane
268,Flat,flat
269,Flat,categoric
270,Flat,categorical
271,Flat,flat
272,Flat,unconditional
273,Flat,flat
274,Flat,prostrate
275,Flat,flat
276,Flat,flat
277,Flat,compressed
278,Flat,flat
279,Flat,bland
280,Flat,flat
281,Flat,flavorless
282,Flat,flavourless
283,Flat,insipid
284,Flat,savorless
285,Flat,savourless
286,Flat,vapid
287,Flat,bland
288,Flat,flat
289,Flat,flat
290,Flat,flat
291,Flat,monotone
292,Flat,monotonic
293,Flat,monotonous
294,Flat,flat
295,Flat,two-dimensional
296,Flat,2-dimensional
297,Flat,flat
298,Flat,flat
299,Flat,mat
300,Flat,matt
301,Flat,matte
302,Flat,matted
303,Flat,flat
304,Flat,flat
305,Flat,directly
306,Flat,flat
307,Flat,straight
308,Wonder,wonder
309,Wonder,wonderment
310,Wonder,admiration
311,Wonder,wonder
312,Wonder,marvel
313,Wonder,curiosity
314,Wonder,wonder
315,Wonder,wonder
316,Wonder,inquire
317,Wonder,enquire
318,Wonder,wonder
319,Wonder,question
320,Wonder,wonder
321,Wonder,marvel
322,B,bacillus
323,B,B
324,B,B-complex_vitamin
325,B,B_complex
326,B,vitamin_B_complex
327,B,vitamin_B
328,B,B_vitamin
329,B,B
330,B,boron
331,B,B
332,B,atomic_number_5
333,B,Bel
334,B,B
335,B,barn
336,B,b
337,B,B
338,B,b
339,B,B
340,B,type_B
341,B,group_B
342,Apartment,apartment
343,Apartment,flat
344,Survey,survey
345,Survey,study
346,Survey,sketch
347,Survey,survey
348,Survey,resume
349,Survey,view
350,Survey,survey
351,Survey,sight
352,Survey,survey
353,Survey,appraise
354,Survey,survey
355,Survey,surveil
356,Survey,follow
357,Survey,survey
358,Survey,review
359,Survey,go_over
360,Survey,survey
361,Survey,survey
362,Survey,survey
363,Plaza,plaza
364,Plaza,place
365,Plaza,piazza
366,Plaza,plaza
367,Plaza,mall
368,Plaza,center
369,Plaza,shopping_mall
370,Plaza,shopping_center
371,Plaza,shopping_centre
372,FL,Florida
373,FL,Sunshine_State
374,FL,Everglade_State
375,FL,FL
376,Lane,lane
377,Lane,lane
378,Paramount,overriding
379,Paramount,paramount
380,Paramount,predominant
381,Paramount,predominate
382,Paramount,preponderant
383,Paramount,preponderating
384,Apartments,apartment
385,Apartments,flat
386,County,county
387,County,county
388,Palm,palm
389,Palm,thenar
390,Palm,palm
391,Palm,palm
392,Palm,palm_tree
393,Palm,decoration
394,Palm,laurel_wreath
395,Palm,medal
396,Palm,medallion
397,Palm,palm
398,Palm,ribbon
399,Palm,handle
400,Palm,palm
401,Avenue,avenue
402,Avenue,avenue
403,Avenue,boulevard
404,Ashram,ashram
405,Ashram,ashram
406,Rising,rise
407,Rising,rising
408,Rising,ascent
409,Rising,ascension
410,Rising,rebellion
411,Rising,insurrection
412,Rising,revolt
413,Rising,rising
414,Rising,uprising
415,Rising,rise
416,Rising,lift
417,Rising,arise
418,Rising,move_up
419,Rising,go_up
420,Rising,come_up
421,Rising,uprise
422,Rising,rise
423,Rising,go_up
424,Rising,climb
425,Rising,arise
426,Rising,rise
427,Rising,uprise
428,Rising,get_up
429,Rising,stand_up
430,Rising,rise
431,Rising,lift
432,Rising,rear
433,Rising,surface
434,Rising,come_up
435,Rising,rise_up
436,Rising,rise
437,Rising,originate
438,Rising,arise
439,Rising,rise
440,Rising,develop
441,Rising,uprise
442,Rising,spring_up
443,Rising,grow
444,Rising,ascend
445,Rising,move_up
446,Rising,rise
447,Rising,wax
448,Rising,mount
449,Rising,climb
450,Rising,rise
451,Rising,heighten
452,Rising,rise
453,Rising,get_up
454,Rising,turn_out
455,Rising,arise
456,Rising,uprise
457,Rising,rise
458,Rising,rise
459,Rising,jump
460,Rising,climb_up
461,Rising,rise
462,Rising,rise
