,source,target
0,Building,structure
1,Road,way
2,Society,social_group
3,Nagar,None
4,Residency,act
5,Marg,None
6,Street,thoroughfare
7,wing,organ
8,Appt,None
9,Apts,None
10,Plot,scheme
11,Colony,body
12,Layout,design
13,Nivas,None
14,House,building
15,House,dwelling
16,Home,residence
17,highway,road
18,Bunglows,None
19,flr,None
20,township,administrative_district
21,floor,horizontal_surface
22,Dundlod,None
23,bungalows,house
24,Navgrah DattaMandir,None
25,Housing,structure
26,Pavilion Residency,None
27,Saikrupa Society,None
28,Daffodils,narcissus
29,Building-B,None
30,North Harsiddhi,None
31,Jagdamba road,None
32,Mountscape Society,None
33,Sunshine Hills,None
34,collage society,None
35,Gera’s Regent Park,None
36,Regent,committee_member
37,Park,tract
38,B-703 Jade Residencies,None
39,Kumar Park Infinia,None
40,Blue Ridge,None
41,Hostel,hotel
42,Sadan,None
43,Room,area
44,Sahakar Nagar,None
45,Sangharsh Chowk,None
46,Flat no,None
47,borgadi road,None
48,Saragam colony,None
49,Village,community
50,Flat,plain
51,Magarpatta Road,None
52,near Kate Puram square,None
53,Soc,None
54,Ashoka Enclave,None
55,Silver Palm Groove,None
56,Wonder,astonishment
57,Wonder City,None
58,Phase-3,None
59,Sakharewasti,None
60,Bairo Polvaddo,None
61,Rutuvihar,None
62,B,eubacteria
63,Apartment,housing
64,Survey,examination
65,Plaza,public_square
66,Bhumkar Chowk,None
67,Superintendent’s Bungalow,None
68,Purple Blooms,None
69,Lane,way
70,Shubhlaxmi Residency,None
71,Nehru Park,None
72,Atmanagar,None
73,Vighnaharta Sankul,None
74,Akashraj,None
75,Apartments,housing
76,County,region
77,Hsg Society,None
78,Tahasil Ward,None
79,Sidhivinayak,None
80,Appartment,None
81,Khushboo Exotica,None
82,Neel Heights Society,None
83,Enclave Block,None
84,wing-A,None
85,MEGHMALHAR DSK,None
86,Phase 1,None
87,OldMundwa,None
88,Kharadi,None
89,Skyline Heights,None
90,Majestique Manhattan,None
91,La-cabana,None
92,vidyadhar soc,None
93,Shwetambari,None
94,Palm,area
95,Avenue,approach
96,Kale Apartment,None
97,Ashram,retreat
98,Gali,None
99,Rising,change_of_location
100,Landscape,scenery
101,Nr. Naranpura Telephone Exchange,None
102,Lake Town,None
103,Near loc terminal,None
104,no-1002,None
105,Wing-B,None
106,Tower,structure
107,Tower 52,None
108,Amanora Park Town,None
109,Vetal Banglow,None
110,Selene Park,None
111,Sundarcharla,None
112,Kirad Villa,None
113,Sinhgad Road,None
114,Lawn,field
115,Dham,None
116,post,position
117,Samiram,None
118,Ward,person
119,Reserve,propriety
120,Ghatshiras,None
121,RMC,None
122,Garden,plot
123,Phase,time_period
124,Kamalsmruti,None
125,Railvihar,None
126,Adiware,None
127,No,negative
128,No,negative
129,Pin,jewelry
130,Plot,scheme
131,Ivory,dentine
132,Lake,body_of_water
133,Oriana,None
134,MK,None
135,PH,hydrogen_ion_concentration
136,1303,None
137,1005,None
138,1204,None
139,Vastushree,None
140,Sollanaa,None
141,GAT,pistol
142,number,amount
143,Hsg,None
144,Blueridge,None
145,Manjri,None
146,Indramani,None
147,Sanchar,None
148,Rakshak,None
149,DipaDarshan,None
150,ShantiSadan,None
151,Saguna,None
152,Shramshafalay,None
153,Kalubai,None
154,NDA,None
155,Karkamb,None
156,Kondhwa,None
157,Shivneri,None
158,Shivnery,None
159,Pathbandhare,None
160,Chaitanya,None
161,Loca,None
162,PKhamarapalli,None
163,Dhyanesh,None
164,Brahama,None
165,Estoria,None
166,Thopate,None
167,ILO,united_nations_agency
168,MIAMISBURG,None
169,mill,plant
170,yashome,None
171,Shivclassic,None
172,velampatti,None
173,Ghodbunder,None
174,Unbilled,None
175,Arcs,electrical_conduction
176,Siddheshvar,None
177,brit,european
178,Safal,None
179,NarpatgiriChowk,None
180,Indrayaninagar,None
181,Swiss,nation
182,Jatt,None
183,Wing,organ
184,Godambe,None
185,Watercolour,pigment
186,Mitigated,apologize
187,Reu,None
188,VPO,None
189,Jambhulwadi,None
190,Chakrasanket,None
191,Punyaei,None
192,vishroli,None
193,Lilavati,None
194,Kulashree,None
195,Sushegat,None
196,Jogi,None
197,dailystatuscalswiththeclient,None
198,Barrage,language
199,khatib,None
200,Songbirds,oscine
201,Saai,None
202,Sairaj,None
203,Province,administrative_district
204,Kamalkar,None
205,Katraj,None
206,Badagada,None
207,Parijat,None
208,Bhairavi,None
209,Mahape,None
210,Jayamala,None
211,Gracia,None
212,Savrkar,None
213,Salunkevihar,None
214,Vaarahi,None
215,Akshardham,None
216,Heliconia,None
217,Regalia,gear
218,Chowke,None
219,Growcers,None
220,Memoir,autobiography
221,Palacio,None
222,newale,None
223,Heleconia,None
224,landmark,position
225,Gandh,None
226,Maruthinagar,None
227,Dangechowk,None
228,Satpuda,None
229,Nerparsopant,None
230,Ragahuvandra,None
231,Ahmadpur,None
232,NayaBass,None
233,Aeropolis,None
234,Whispering,noise
235,Paradises,region
236,Jadav,None
237,panache,elegance
238,Nandanvan,None
239,Opposite,word
240,Sneh,None
241,Kachchi,None
242,Greenwoods,forest
243,Orchid,flower
244,Santoshimata,None
245,Kawade,None
246,Maulli,None
247,SaiVilla,None
248,Parichay,None
249,satra,None
250,Saffron,crocus
251,Melange,assortment
252,Archade,None
253,Venayaka,None
254,Gadkar,None
255,Shamaliyah,None
256,orchid,flower
257,Towers,structure
258,Elmwoods,wood
259,Ayaan,None
260,Miraroad,None
261,Hwy,None
262,Pujar,None
263,ShriKrushna,None
264,Senapati,None
265,Hosapete,None
266,ph,hydrogen_ion_concentration
267,riverine,None
268,kesher,None
269,Waterlilly,None
270,Sanklapura,None
271,1804,None
272,palms,area
273,MIDCPhase,None
274,Chowck,None
275,23,large_integer
276,karyalaya,None
277,Panchwati,None
