,source,target
0,Building,abattoir
1,Building,apartment_building
2,Building,architecture
3,Building,aviary
4,Building,bathhouse
5,Building,bowling_alley
6,Building,center
7,Building,chapterhouse
8,Building,clubhouse
9,Building,dormitory
10,Building,farm_building
11,Building,feedlot
12,Building,firetrap
13,Building,gambling_house
14,Building,gazebo
15,Building,government_building
16,Building,greenhouse
17,Building,hall
18,Building,hall
19,Building,hall_of_fame
20,Building,hotel-casino
21,Building,hotel
22,Building,house
23,Building,house
24,Building,library
25,Building,medical_building
26,Building,ministry
27,Building,morgue
28,Building,observatory
29,Building,office_building
30,Building,opium_den
31,Building,outbuilding
32,Building,packinghouse
33,Building,place_of_worship
34,Building,planetarium
35,Building,presbytery
36,Building,rest_house
37,Building,restaurant
38,Building,rink
39,Building,roman_building
40,Building,rotunda
41,Building,ruin
42,Building,school
43,Building,shooting_gallery
44,Building,signal_box
45,Building,skyscraper
46,Building,student_union
47,Building,tavern
48,Building,telecom_hotel
49,Building,temple
50,Building,theater
51,Building,whorehouse
52,Road,access_road
53,Road,byway
54,Road,causeway
55,Road,clearway
56,Road,corduroy
57,Road,detour
58,Road,drive
59,Road,driveway
60,Road,highway
61,Road,line
62,Road,post_road
63,Road,roadway
64,Road,shortcut
65,Road,side_road
66,Road,skid_road
67,Road,speedway
68,Road,thoroughfare
69,Road,track
70,Road,turnoff
71,Society,civilization
72,Society,culture
73,Society,open_society
74,Society,tribal_society
75,Nagar,None
76,Residency,lodging
77,Residency,occupancy
78,Marg,None
79,Street,alley
80,Street,avenue
81,Street,cross_street
82,Street,local_road
83,Street,main_street
84,Street,mews
85,Street,rue
86,Street,side_street
87,wing,ala
88,wing,forewing
89,wing,halter
90,wing,pennon
91,wing,wing_case
92,Appt,None
93,Apts,None
94,Plot,conspiracy
95,Plot,counterplot
96,Plot,intrigue
97,Colony,frontier_settlement
98,Colony,plantation
99,Colony,proprietary_colony
100,Nivas,None
101,House,beach_house
102,House,boarding_house
103,House,bungalow
104,House,cabin
105,House,chalet
106,House,chapterhouse
107,House,country_house
108,House,detached_house
109,House,dollhouse
110,House,duplex_house
111,House,farmhouse
112,House,gatehouse
113,House,guesthouse
114,House,hacienda
115,House,lodge
116,House,lodging_house
117,House,maisonette
118,House,mansion
119,House,ranch_house
120,House,residence
121,House,row_house
122,House,safe_house
123,House,saltbox
124,House,sod_house
125,House,solar_house
126,House,tract_house
127,House,villa
128,Home,home_away_from_home
129,highway,arterial_road
130,highway,beltway
131,highway,divided_highway
132,highway,expressway
133,highway,highroad
134,highway,interstate
135,Bunglows,None
136,flr,None
137,floor,bell_deck
138,floor,dance_floor
139,floor,floorboard
140,floor,parquet
141,floor,truck_bed
142,Dundlod,None
143,Navgrah DattaMandir,None
144,Housing,apartment
145,Housing,billet
146,Housing,block
147,Housing,camp
148,Housing,condominium
149,Housing,dwelling
150,Housing,hospice
151,Housing,hostel
152,Housing,living_quarters
153,Housing,mobile_home
154,Housing,pied-a-terre
155,Housing,quartering
156,Housing,rattrap
157,Housing,shelter
158,Housing,tract_housing
159,Pavilion Residency,None
160,Saikrupa Society,None
161,Daffodils,jonquil
162,Daffodils,paper_white
163,Building-B,None
164,North Harsiddhi,None
165,Jagdamba road,None
166,Mountscape Society,None
167,Sunshine Hills,None
168,collage society,None
169,Gera’s Regent Park,None
170,Park,national_park
171,Park,safari_park
172,B-703 Jade Residencies,None
173,Kumar Park Infinia,None
174,Blue Ridge,None
175,Hostel,caravansary
176,Hostel,imaret
177,Hostel,posthouse
178,Hostel,roadhouse
179,Sadan,None
180,Room,anechoic_chamber
181,Room,anteroom
182,Room,back_room
183,Room,ballroom
184,Room,barroom
185,Room,bathroom
186,Room,bedroom
187,Room,belfry
188,Room,billiard_room
189,Room,boardroom
190,Room,cardroom
191,Room,cell
192,Room,cell
193,Room,chamber
194,Room,checkroom
195,Room,classroom
196,Room,clean_room
197,Room,cloakroom
198,Room,closet
199,Room,clubroom
200,Room,compartment
201,Room,conference_room
202,Room,control_room
203,Room,court
204,Room,cubby
205,Room,cutting_room
206,Room,darkroom
207,Room,den
208,Room,dinette
209,Room,dining_room
210,Room,door
211,Room,dressing_room
212,Room,durbar
213,Room,engineering
214,Room,floor
215,Room,furnace_room
216,Room,gallery
217,Room,gallery
218,Room,greenroom
219,Room,guardroom
220,Room,hall
221,Room,hospital_room
222,Room,kitchen
223,Room,library
224,Room,living_room
225,Room,locker_room
226,Room,lounge
227,Room,manor_hall
228,Room,poolroom
229,Room,presence_chamber
230,Room,rathole
231,Room,reading_room
232,Room,reception_room
233,Room,recreation_room
234,Room,rotunda
235,Room,scriptorium
236,Room,scullery
237,Room,sewing_room
238,Room,shipping_room
239,Room,shower_room
240,Room,sickbay
241,Room,sickroom
242,Room,smoking_room
243,Room,squad_room
244,Room,squad_room
245,Room,steam_bath
246,Room,storeroom
247,Room,study
248,Room,sun_parlor
249,Room,surgery
250,Room,television_room
251,Room,test_room
252,Room,toilet
253,Room,torture_chamber
254,Room,vestry
255,Room,walk-in
256,Room,war_room
257,Room,workroom
258,Sahakar Nagar,None
259,Sangharsh Chowk,None
260,Flat no,None
261,borgadi road,None
262,Saragam colony,None
263,Village,moshav
264,Flat,alluvial_flat
265,Flat,salt_flat
266,Magarpatta Road,None
267,near Kate Puram square,None
268,Soc,None
269,Ashoka Enclave,None
270,Silver Palm Groove,None
271,Wonder,awe
272,Wonder City,None
273,Phase-3,None
274,Sakharewasti,None
275,Bairo Polvaddo,None
276,Rutuvihar,None
277,B,bacillus_anthracis
278,B,bacillus_subtilis
279,B,yersinia_pestis
280,Apartment,bedsitting_room
281,Apartment,cold-water_flat
282,Apartment,duplex_apartment
283,Apartment,efficiency_apartment
284,Apartment,flatlet
285,Apartment,maisonette
286,Apartment,penthouse
287,Apartment,railroad_flat
288,Apartment,studio_apartment
289,Apartment,suite
290,Apartment,walk-up_apartment
291,Survey,resurvey
292,Bhumkar Chowk,None
293,Superintendent’s Bungalow,None
294,Purple Blooms,None
295,Shubhlaxmi Residency,None
296,Nehru Park,None
297,Atmanagar,None
298,Vighnaharta Sankul,None
299,Akashraj,None
300,Apartments,bedsitting_room
301,Apartments,cold-water_flat
302,Apartments,duplex_apartment
303,Apartments,efficiency_apartment
304,Apartments,flatlet
305,Apartments,maisonette
306,Apartments,penthouse
307,Apartments,railroad_flat
308,Apartments,studio_apartment
309,Apartments,suite
310,Apartments,walk-up_apartment
311,County,wight
312,Hsg Society,None
313,Tahasil Ward,None
314,Sidhivinayak,None
315,Appartment,None
316,Khushboo Exotica,None
317,Neel Heights Society,None
318,Enclave Block,None
319,wing-A,None
320,MEGHMALHAR DSK,None
321,Phase 1,None
322,OldMundwa,None
323,Kharadi,None
324,Skyline Heights,None
325,Majestique Manhattan,None
326,La-cabana,None
327,vidyadhar soc,None
328,Shwetambari,None
329,Kale Apartment,None
330,Gali,None
331,Rising,climb
332,Rising,elevation
333,Rising,heave
334,Rising,liftoff
335,Rising,rapid_climb
336,Rising,takeoff
337,Rising,upheaval
338,Rising,uplifting
339,Nr. Naranpura Telephone Exchange,None
340,Lake Town,None
341,Near loc terminal,None
342,no-1002,None
343,Wing-B,None
344,Tower,barbican
345,Tower,beacon
346,Tower,bell_tower
347,Tower,church_tower
348,Tower,clock_tower
349,Tower,control_tower
350,Tower,high-rise
351,Tower,minaret
352,Tower,mooring_tower
353,Tower,pylon
354,Tower,pylon
355,Tower,shot_tower
356,Tower,silo
357,Tower,steeple
358,Tower,supporting_tower
359,Tower,turret
360,Tower,watchtower
361,Tower 52,None
362,Amanora Park Town,None
363,Vetal Banglow,None
364,Selene Park,None
365,Sundarcharla,None
366,Kirad Villa,None
367,Sinhgad Road,None
368,Dham,None
369,post,bridgehead
370,post,lookout
371,post,outstation
372,Samiram,None
373,Reserve,demureness
374,Ghatshiras,None
375,RMC,None
376,Garden,flower_garden
377,Garden,formal_garden
378,Garden,grove
379,Garden,herb_garden
380,Garden,hop_garden
381,Garden,kitchen_garden
382,Garden,landscaping
383,Garden,market_garden
384,Garden,pot_farm
385,Garden,rock_garden
386,Garden,roof_garden
387,Garden,rose_garden
388,Garden,sunken_garden
389,Garden,tea_garden
390,Garden,topiary
391,Phase,anal_stage
392,Phase,apogee
393,Phase,chapter
394,Phase,diakinesis
395,Phase,diplotene
396,Phase,fertile_period
397,Phase,generation
398,Phase,genital_stage
399,Phase,incubation
400,Phase,latency_stage
401,Phase,leptotene
402,Phase,menstrual_phase
403,Phase,musth
404,Phase,oral_stage
405,Phase,pachytene
406,Phase,phallic_stage
407,Phase,phase_of_cell_division
408,Phase,safe_period
409,Phase,secretory_phase
410,Phase,seedtime
411,Phase,zygotene
412,Kamalsmruti,None
413,Railvihar,None
414,Adiware,None
415,Pin,brooch
416,Pin,scatter_pin
417,Pin,stickpin
418,Pin,tie_tack
419,Plot,conspiracy
420,Plot,counterplot
421,Plot,intrigue
422,Lake,bayou
423,Lake,lagoon
424,Lake,loch
425,Lake,lough
426,Lake,oxbow_lake
427,Lake,pond
428,Lake,reservoir
429,Lake,tarn
430,Oriana,None
431,MK,None
432,PH,acidity
433,PH,alkalinity
