,source,target
0,CS,cesium
1,CS,caesium
2,CS,Cs
3,CS,atomic_number_55
4,CS,degree_centigrade
5,CS,degree_Celsius
6,CS,C
7,CS,speed_of_light
8,CS,light_speed
9,CS,c
10,CS,vitamin_C
11,CS,C
12,CS,ascorbic_acid
13,CS,deoxycytidine_monophosphate
14,CS,C
15,CS,cytosine
16,CS,C
17,CS,carbon
18,CS,C
19,CS,atomic_number_6
20,CS,hundred
21,CS,100
22,CS,C
23,CS,century
24,CS,one_C
25,CS,coulomb
26,CS,C
27,CS,ampere-second
28,CS,C
29,CS,C
30,CS,C
31,CS,c
32,CS,coke
33,CS,blow
34,CS,nose_candy
35,CS,snow
36,CS,C
37,IT,information_technology
38,IT,IT
39,CSE,Communications_Security_Establishment
40,CSE,CSE
41,COMP,comprehensive_examination
42,COMP,comprehensive
43,COMP,comp
44,computers,computer
45,computers,computing_machine
46,computers,computing_device
47,computers,data_processor
48,computers,electronic_computer
49,computers,information_processing_system
50,computers,calculator
51,computers,reckoner
52,computers,figurer
53,computers,estimator
54,computers,computer
55,Computer,computer
56,Computer,computing_machine
57,Computer,computing_device
58,Computer,data_processor
59,Computer,electronic_computer
60,Computer,information_processing_system
61,Computer,calculator
62,Computer,reckoner
63,Computer,figurer
64,Computer,estimator
65,Computer,computer
66,Comp,comprehensive_examination
67,Comp,comprehensive
68,Comp,comp
69,Computers,computer
70,Computers,computing_machine
71,Computers,computing_device
72,Computers,data_processor
73,Computers,electronic_computer
74,Computers,information_processing_system
75,Computers,calculator
76,Computers,reckoner
77,Computers,figurer
78,Computers,estimator
79,Computers,computer
80,CE,cerium
81,CE,Ce
82,CE,atomic_number_58
83,CE,CE
84,CE,C.E.
85,CE,Common_Era
86,Cs,cesium
87,Cs,caesium
88,Cs,Cs
89,Cs,atomic_number_55
90,Cs,degree_centigrade
91,Cs,degree_Celsius
92,Cs,C
93,Cs,speed_of_light
94,Cs,light_speed
95,Cs,c
96,Cs,vitamin_C
97,Cs,C
98,Cs,ascorbic_acid
99,Cs,deoxycytidine_monophosphate
100,Cs,C
101,Cs,cytosine
102,Cs,C
103,Cs,carbon
104,Cs,C
105,Cs,atomic_number_6
106,Cs,hundred
107,Cs,100
108,Cs,C
109,Cs,century
110,Cs,one_C
111,Cs,coulomb
112,Cs,C
113,Cs,ampere-second
114,Cs,C
115,Cs,C
116,Cs,C
117,Cs,c
118,Cs,coke
119,Cs,blow
120,Cs,nose_candy
121,Cs,snow
122,Cs,C
123,invites,invite
124,invites,invite
125,invites,ask_for
126,invites,invite
127,invites,ask_over
128,invites,ask_round
129,invites,tempt
130,invites,invite
131,invites,invite
132,invites,bid
133,invites,invite
134,invites,pay_for
135,invites,invite
136,invites,ask_in
137,invites,invite
138,invites,call_for
139,invites,receive
140,invites,take_in
141,invites,invite
142,Cause,cause
143,Cause,cause
144,Cause,reason
145,Cause,grounds
146,Cause,campaign
147,Cause,cause
148,Cause,crusade
149,Cause,drive
150,Cause,movement
151,Cause,effort
152,Cause,causal_agent
153,Cause,cause
154,Cause,causal_agency
155,Cause,lawsuit
156,Cause,suit
157,Cause,case
158,Cause,cause
159,Cause,causa
160,Cause,cause
161,Cause,do
162,Cause,make
163,Cause,induce
164,Cause,stimulate
165,Cause,cause
166,Cause,have
167,Cause,get
168,Cause,make
169,inventory,inventory
170,inventory,stock_list
171,inventory,stock
172,inventory,inventory
173,inventory,inventory
174,inventory,armory
175,inventory,armoury
176,inventory,inventory
177,inventory,inventory
178,inventory,inventorying
179,inventory,stocktaking
180,inventory,stock-taking
181,inventory,inventory
182,inventory,take_stock
183,inventory,stock-take
184,give,give
185,give,spring
186,give,springiness
187,give,give
188,give,yield
189,give,give
190,give,afford
191,give,give
192,give,give
193,give,give
194,give,pay
195,give,hold
196,give,throw
197,give,have
198,give,make
