,source,target
0,Computer Engineering,None
1,Computer Science,None
2,Information Technology,None
3,CS,metallic_element
4,Comp Sci,None
5,Computer Science and Engineering,None
6,Computer Science & Engineering,None
7,IT,engineering
8,Computer Sci,None
9,computer science,None
10,Computer Technology,None
11,CSE,international_intelligence_agency
12,Computer Science Engineering,None
13,COMP,examination
14,I.T,None
15,computers,machine
16,COMPUTER ENGINEERING,None
17,Information Technology Engineering,None
18,Information Technology and Management,None
19,Computer Engg,None
20,Computer Science & Engg.,None
21,Computer Science and Management,None
22,InformationTechnology,None
23,Computer,machine
24,(CS),None
25,Comp. Sci.,None
26,Comp,examination
27,Advanced Computing,None
28,Computers,machine
29,Advance Software Design & Development,None
30,computer Science and Technology,None
31,CE,metallic_element
32,Computer Science And Engg.,None
33,Computer Science & Eng.,None
34,computer Technology,None
35,Computer Science and engg,None
36,comp.sci,None
37,Computer Science Engg,None
38,Information Technology Engg,None
39,Software engineering,None
40,Software Engineering,None
41,INFORMATION TECHNOLOGY,None
42,Comp Sci & Eng,None
43,Computer Science and Engg,None
44,comp.sci.,None
45,Computer Science and Engg.,None
46,comp.sci.,None
47,Computer Science and Engg.,None
48,Information Science and Engineering,None
49,Advance Computing,None
50,Information and Technology,None
51,Computer Science Eng.,None
52,Mobile Computing,None
53,Computer Science,None
54,Computer & Science Engg.,None
55,advanced computing,None
56,Computer & Science Engg.,None
57,C.S.E.,None
58,COMPUTER ENGG,None
59,Cs,metallic_element
60,ICM,None
61,Electronics & Embedded Technology,None
62,Computer Management,None
63,Electronics and Communication Engineering,None
64,Computer Science & Engg,None
65,Computer Science and  Engineering,None
66,Comp.sci,None
67,Embedded Systems,None
68,ComputerScience,None
69,Computer Sciences,None
70,ComputerEngineering,None
71,Computer Maint. Physic,None
72,Master of Computer Application,None
73,Bachelor of Tech,None
74,invites,invitation
75,Cause,origin
76,inventory,list
77,give,elasticity
78,FQA,None
79,GMI,None
80,BTER,None
81,telecomunication,None
82,Computer,machine
83,Infoway,None
84,BSCs,None
85,ComputerEngg,None
86,describe,set_forth
87,ambiguities,saying
88,binlog,None
89,CFA,None
90,Corps,army_unit
91,Nodes,connection
92,comp,examination
93,engineearing,None
94,Gartrell,None
95,JavaDeveloper,None
96,ADVFX,None
97,SCIENCES,discipline
98,CARGO,merchandise
99,swissrentacar,None
100,nano,None
101,BScCS,None
102,PGDIT,None
103,HMM,None
