,source,target
0,Computer Engineering,None
1,Computer Science,None
2,Information Technology,None
3,CS,cesium_137
4,Comp Sci,None
5,Computer Science and Engineering,None
6,Computer Science & Engineering,None
7,Computer Sci,None
8,computer science,None
9,Computer Technology,None
10,Computer Science Engineering,None
11,I.T,None
12,computers,analog_computer
13,computers,digital_computer
14,computers,home_computer
15,computers,node
16,computers,number_cruncher
17,computers,pari-mutuel_machine
18,computers,predictor
19,computers,server
20,computers,turing_machine
21,computers,web_site
22,COMPUTER ENGINEERING,None
23,Information Technology Engineering,None
24,Information Technology and Management,None
25,Computer Engg,None
26,Computer Science & Engg.,None
27,Computer Science and Management,None
28,InformationTechnology,None
29,Computer,analog_computer
30,Computer,digital_computer
31,Computer,home_computer
32,Computer,node
33,Computer,number_cruncher
34,Computer,pari-mutuel_machine
35,Computer,predictor
36,Computer,server
37,Computer,turing_machine
38,Computer,web_site
39,(CS),None
40,Comp. Sci.,None
41,Advanced Computing,None
42,Computers,analog_computer
43,Computers,digital_computer
44,Computers,home_computer
45,Computers,node
46,Computers,number_cruncher
47,Computers,pari-mutuel_machine
48,Computers,predictor
49,Computers,server
50,Computers,turing_machine
51,Computers,web_site
52,Advance Software Design & Development,None
53,computer Science and Technology,None
54,Computer Science And Engg.,None
55,Computer Science & Eng.,None
56,computer Technology,None
57,Computer Science and engg,None
58,comp.sci,None
59,Computer Science Engg,None
60,Information Technology Engg,None
61,Software engineering,None
62,Software Engineering,None
63,INFORMATION TECHNOLOGY,None
64,Comp Sci & Eng,None
65,Computer Science and Engg,None
66,comp.sci.,None
67,Computer Science and Engg.,None
68,comp.sci.,None
69,Computer Science and Engg.,None
70,Information Science and Engineering,None
71,Advance Computing,None
72,Information and Technology,None
73,Computer Science Eng.,None
74,Mobile Computing,None
75,Computer Science,None
76,Computer & Science Engg.,None
77,advanced computing,None
78,Computer & Science Engg.,None
79,C.S.E.,None
80,COMPUTER ENGG,None
81,Cs,cesium_137
82,ICM,None
83,Electronics & Embedded Technology,None
84,Computer Management,None
85,Electronics and Communication Engineering,None
86,Computer Science & Engg,None
87,Computer Science and  Engineering,None
88,Comp.sci,None
89,Embedded Systems,None
90,ComputerScience,None
91,Computer Sciences,None
92,ComputerEngineering,None
93,Computer Maint. Physic,None
94,Master of Computer Application,None
95,Bachelor of Tech,None
96,Cause,antecedent
97,Cause,etiology
98,Cause,factor
99,Cause,mutagenesis
100,Cause,producer
101,inventory,parts_inventory
102,FQA,None
103,GMI,None
104,BTER,None
105,telecomunication,None
106,Computer,analog_computer
107,Computer,digital_computer
108,Computer,home_computer
109,Computer,node
110,Computer,number_cruncher
111,Computer,pari-mutuel_machine
112,Computer,predictor
113,Computer,server
114,Computer,turing_machine
115,Computer,web_site
116,Infoway,None
117,BSCs,None
118,ComputerEngg,None
119,describe,delineate
120,describe,represent
121,describe,sketch
122,ambiguities,amphibology
123,ambiguities,double_entendre
124,ambiguities,loophole
125,ambiguities,parisology
126,binlog,None
127,CFA,None
128,Corps,reserve_officers_training_corps
129,Corps,women's_army_corps
130,engineearing,None
131,Gartrell,None
132,JavaDeveloper,None
133,ADVFX,None
134,SCIENCES,agrobiology
135,SCIENCES,agrology
136,SCIENCES,agronomy
137,SCIENCES,architectonics
138,SCIENCES,cognitive_science
139,SCIENCES,cryptanalysis
140,SCIENCES,information_science
141,SCIENCES,linguistics
142,SCIENCES,mathematics
143,SCIENCES,metallurgy
144,SCIENCES,metrology
145,SCIENCES,natural_history
146,SCIENCES,natural_science
147,SCIENCES,nutrition
148,SCIENCES,psychology
149,SCIENCES,social_science
150,SCIENCES,strategics
151,SCIENCES,systematics
152,SCIENCES,thanatology
153,swissrentacar,None
154,nano,None
155,BScCS,None
156,PGDIT,None
157,HMM,None
