,source,target
0,Maths,mathematics
1,Maths,math
2,Maths,maths
3,Maths,mathematics
4,Maths,math
5,Maths,maths
6,Physics,physics
7,Physics,natural_philosophy
8,Physics,physics
9,Physics,physical_science
10,Physics,purgative
11,Physics,cathartic
12,Physics,physic
13,Physics,aperient
14,Science,science
15,Science,scientific_discipline
16,Science,skill
17,Science,science
18,Statistics,statistics
19,Statistics,statistic
20,EE,electrical_engineering
21,EE,EE
22,Mathematics,mathematics
23,Mathematics,math
24,Mathematics,maths
25,SCIENCE,science
26,SCIENCE,scientific_discipline
27,SCIENCE,skill
28,SCIENCE,science
29,science,science
30,science,scientific_discipline
31,science,skill
32,science,science
33,Commerce,commerce
34,Commerce,commercialism
35,Commerce,mercantilism
36,Commerce,Department_of_Commerce
37,Commerce,Commerce_Department
38,Commerce,Commerce
39,Commerce,DoC
40,Commerce,commerce
41,Geology,geology
42,Math,mathematics
43,Math,math
44,Math,maths
45,Chemistry,chemistry
46,Chemistry,chemical_science
47,Chemistry,chemistry
48,Chemistry,chemistry
49,Chemistry,interpersonal_chemistry
50,Chemistry,alchemy
51,taxonomy,taxonomy
52,taxonomy,taxonomy
53,taxonomy,taxonomy
54,Chemical,chemical
55,Chemical,chemical_substance
56,Chemical,chemical
57,Chemical,chemic
58,Chemical,chemical
59,General,general
60,General,full_general
61,General,general
62,General,superior_general
63,General,general
64,General,general
65,General,general
66,General,general
67,General,general
68,General,general
69,General,general
70,General,cosmopolitan
71,General,ecumenical
72,General,oecumenical
73,General,general
74,General,universal
75,General,worldwide
76,General,world-wide
77,maths,mathematics
78,maths,math
79,maths,maths
80,maths,mathematics
81,maths,math
82,maths,maths
83,Biology,biology
84,Biology,biological_science
85,Biology,biology
86,Biology,biota
87,Biology,biology
88,Immunological,immunological
89,Immunological,immunologic
90,Journalism,journalism
91,Journalism,news_media
92,Journalism,journalism
93,genealogy,genealogy
94,genealogy,family_tree
95,genealogy,genealogy
96,biotechnology,biotechnology
97,biotechnology,biotech
98,biotechnology,biotechnology
99,biotechnology,bioengineering
100,biotechnology,ergonomics
101,Civil,civil
102,Civil,civil
103,Civil,polite
104,Civil,civil
105,Civil,civil
106,Civil,civic
107,Civil,civil
108,Civil,civil
109,MATHEMATICS,mathematics
110,MATHEMATICS,math
111,MATHEMATICS,maths
112,TCE,trichloroethylene
113,TCE,trichloroethane
114,TCE,TCE
115,microbiology,microbiology
116,Mechanical,mechanical
117,Mechanical,mechanical
118,Mechanical,mechanically_skillful
119,Mechanical,mechanical
120,taxation,tax
121,taxation,taxation
122,taxation,revenue_enhancement
123,taxation,tax_income
124,taxation,taxation
125,taxation,tax_revenue
126,taxation,revenue
127,taxation,taxation
128,chemistry,chemistry
129,chemistry,chemical_science
130,chemistry,chemistry
131,chemistry,chemistry
132,chemistry,interpersonal_chemistry
133,chemistry,alchemy
134,EC,European_Union
135,EC,EU
136,EC,European_Community
137,EC,EC
138,EC,European_Economic_Community
139,EC,EEC
140,EC,Common_Market
141,EC,Europe
142,pathology,pathology
143,pathology,pathology
144,math,mathematics
145,math,math
146,math,maths
147,PHYSICS,physics
148,PHYSICS,natural_philosophy
149,PHYSICS,physics
150,PHYSICS,physical_science
151,PHYSICS,purgative
152,PHYSICS,cathartic
153,PHYSICS,physic
154,PHYSICS,aperient
155,Metallurgy,metallurgy
156,mathematics,mathematics
157,mathematics,math
158,mathematics,maths
159,Geography,geography
160,Geography,geographics
161,literacy,literacy
162,trigonometry,trigonometry
163,trigonometry,trig
164,Pathology,pathology
165,Pathology,pathology
166,Biotechnology,biotechnology
167,Biotechnology,biotech
168,Biotechnology,biotechnology
169,Biotechnology,bioengineering
170,Biotechnology,ergonomics
171,Statistics,statistics
172,Statistics,statistic
173,Production,production
174,Production,production
175,Production,product
176,Production,production
177,Production,production
178,Production,output
179,Production,yield
180,Production,production
181,Production,production
182,Production,production
183,Production,production
184,electronics,electronics
185,Electronics,electronics
186,converted,convert
187,converted,change_over
188,converted,convert
189,converted,convert
190,converted,change
191,converted,exchange
192,converted,commute
193,converted,convert
194,converted,convert
195,converted,convert
196,converted,convert
197,converted,convert
198,converted,convert
199,converted,win_over
200,converted,convince
201,converted,commute
202,converted,convert
203,converted,exchange
204,converted,convert
205,converted,born-again
206,converted,converted
207,converted,reborn
208,ELECTRiCAL,electrical
209,ELECTRiCAL,electric
210,ELECTRiCAL,electrical
211,Communication,communication
212,Communication,communicating
213,Communication,communication
214,Communication,communication
215,ELECTRICAL,electrical
216,ELECTRICAL,electric
217,ELECTRICAL,electrical
218,Electronics,electronics
219,Informatics,information_science
220,Informatics,informatics
221,Informatics,information_processing
222,Informatics,IP
223,Microbiology,microbiology
