,source,target
0,Electrical Engineering,None
1,Electronics and Telecommunication,None
2,Electronics Engineering,None
3,Maths,science
4,Mechanical Engineering,None
5,Physics,natural_science
6,Science,discipline
7,Statistics,applied_mathematics
8,Telematics,None
9,EE,engineering
10,ETC,None
11,Electronics & Communication,None
12,Electronics & Communication Engineering,None
13,E & TC,None
14,Mathematics,science
15,Electronics Eng,None
16,Civil Engineering,None
17,Electical Engineering,None
18,PCM,None
19,SCIENCE,discipline
20,science,discipline
21,Commerce,transaction
22,Geology,earth_science
23,Electronics and Communication Engineering,None
24,Math,science
25,E &TC,None
26,Chemistry,natural_science
27,Electronics and telecommunication,None
28,ECE,None
29,Electronics Engg.,None
30,MPC,None
31,Multimedia and Animation,None
32,Multi Media Development,None
33,Sci,None
34,Electronics and Telecom,None
35,EEE,None
36,Electronics & Télécommunication,None
37,taxonomy,hierarchy
38,Chemical,material
39,E&Tc,None
40,Electronics and  Telecommunication Engineering,None
41,ENTC,None
42,General,general_officer
43,M.P.C,None
44,maths,science
45,Biology,life_science
46,Electronics and Telecommunication Engineering,None
47,Journalism,print_media
48,Electronics and communication,None
49,genealogy,kin
50,biotechnology,molecular_biology
51,Hospital HR managemnt,None
52,Eelectronics & Telecommunication,None
53,Electronics & Tele communications,None
54,Industrial Mathematics & Computer Applications,None
55,Mathematic,None
56,Bioinformatics,None
57,Applied Electronics and instrumentation,None
58,Electronics  & communication  Engineering,None
59,Energy Systems,None
60,MATHEMATICS,science
61,Electronics Communication & Engineering,None
62,Animation & Multimedia,None
63,Electronics Telecommunication Engineering,None
64,PCMC,None
65,MPCs,None
66,Electronical Engineering,None
67,Electronics and communication Engineering,None
68,Electronics and Communication Engg,None
69,Electronics & Telecommunication,None
70,Management Studies,None
71,E&E,None
72,Electronics & Instrumentation Engineering,None
73,TCE,ethylene
74,Production Engineering,None
75,Electronics and Comm. Engg,None
76,Bio,None
77,Electronics and Computer Hardware,None
78,microbiology,biology
79,Electrical communication,None
80,Electronics and Telecomm Engg,None
81,E-Business Management,None
82,Electronics and Communications Engineering,None
83,VLSI,None
84,Electrical and Electronics Engineering,None
85,Electronic and Communications Engineering,None
86,Applied Statistics,None
87,E/TC,None
88,PCMB,None
89,technical science,None
90,Electronics and Communication,None
91,bioinformatics,None
92,Metallurgy Secondary Steel Technology,None
93,Electronics And Instrumentation,None
94,taxation,levy
95,chemistry,natural_science
96,E&TC,None
97,Electronics &Communication Engineering,None
98,EC,world_organization
99,pathology,medical_science
100,math,science
101,phy,None
102,P.C.M,None
103,Electronics & Tele-Communication,None
104,PHYSICS,natural_science
105,Computer & Instrumentation,None
106,Metallurgy,science
107,Electrical and Electronics,None
108,Electronics & Comm. Engg.,None
109,CS & HM,None
110,Arts and Science,None
111,mpc,None
112,HRM,None
113,mathematics,science
114,Geography,earth_science
115,literacy,skill
116,trigonometry,pure_mathematics
117,E.C.,None
118,Pathology,medical_science
119,Biotechnology,molecular_biology
120,E.C.E,None
121,Electronics and Instrumentation,None
122,E&T.C,None
123,Statistics,applied_mathematics
124,bioinformatics,None
125,International Business Management,None
126,Industrial Mathematics,None
127,Electronics &Communication,None
128,Electronic Telecom,None
129,Fine Arts,None
130,Elec. & Comm,None
131,Mech,None
132,Instrumentation & Control,None
133,Production,act
134,electronics,physics
135,ElectronicsTelecommunication,None
136,Electronics,physics
137,Electronics Telecommunication,None
138,EI,None
139,Electronics Comm.,None
140,MSBTE,None
141,MECH,None
142,MAJOR IN MECHANICAL,None
143,Mechatronics,None
144,converted,change
145,Communication,act
146,Electroniccommunication,None
147,EnTC,None
148,BCOM,None
149,Electronics,physics
150,Electronica,None
151,Informatics,science
152,Microbiology,biology
153,ECE,None
