,source,target
0,Electrical Engineering,None
1,Electronics and Telecommunication,None
2,Electronics Engineering,None
3,Maths,applied_mathematics
4,Maths,pure_mathematics
5,Mechanical Engineering,None
6,Physics,aeronautics
7,Physics,astronomy
8,Physics,biophysics
9,Physics,cryogenics
10,Physics,crystallography
11,Physics,electromagnetism
12,Physics,electronics
13,Physics,electrostatics
14,Physics,mechanics
15,Physics,nuclear_physics
16,Physics,optics
17,Physics,particle_physics
18,Physics,plasma_physics
19,Physics,quantum_physics
20,Physics,rheology
21,Physics,solid-state_physics
22,Physics,statistical_mechanics
23,Physics,thermodynamics
24,Science,agrobiology
25,Science,agrology
26,Science,agronomy
27,Science,architectonics
28,Science,cognitive_science
29,Science,cryptanalysis
30,Science,information_science
31,Science,linguistics
32,Science,mathematics
33,Science,metallurgy
34,Science,metrology
35,Science,natural_history
36,Science,natural_science
37,Science,nutrition
38,Science,psychology
39,Science,social_science
40,Science,strategics
41,Science,systematics
42,Science,thanatology
43,Statistics,biometrics
44,Statistics,correlation
45,Statistics,nonparametric_statistics
46,Telematics,None
47,EE,telecommunication
48,ETC,None
49,Electronics & Communication,None
50,Electronics & Communication Engineering,None
51,E & TC,None
52,Mathematics,applied_mathematics
53,Mathematics,pure_mathematics
54,Electronics Eng,None
55,Civil Engineering,None
56,Electical Engineering,None
57,PCM,None
58,SCIENCE,agrobiology
59,SCIENCE,agrology
60,SCIENCE,agronomy
61,SCIENCE,architectonics
62,SCIENCE,cognitive_science
63,SCIENCE,cryptanalysis
64,SCIENCE,information_science
65,SCIENCE,linguistics
66,SCIENCE,mathematics
67,SCIENCE,metallurgy
68,SCIENCE,metrology
69,SCIENCE,natural_history
70,SCIENCE,natural_science
71,SCIENCE,nutrition
72,SCIENCE,psychology
73,SCIENCE,social_science
74,SCIENCE,strategics
75,SCIENCE,systematics
76,SCIENCE,thanatology
77,science,agrobiology
78,science,agrology
79,science,agronomy
80,science,architectonics
81,science,cognitive_science
82,science,cryptanalysis
83,science,information_science
84,science,linguistics
85,science,mathematics
86,science,metallurgy
87,science,metrology
88,science,natural_history
89,science,natural_science
90,science,nutrition
91,science,psychology
92,science,social_science
93,science,strategics
94,science,systematics
95,science,thanatology
96,Commerce,carriage_trade
97,Commerce,commercial_enterprise
98,Commerce,distribution
99,Commerce,e-commerce
100,Commerce,evasion
101,Commerce,exchange
102,Commerce,exporting
103,Commerce,importing
104,Commerce,initial_public_offering
105,Commerce,marketing
106,Commerce,payment
107,Commerce,selling
108,Commerce,trade
109,Commerce,trading
110,Commerce,traffic
111,Geology,economic_geology
112,Geology,geophysics
113,Geology,hypsography
114,Geology,mineralogy
115,Geology,orology
116,Geology,paleogeology
117,Geology,speleology
118,Geology,stratigraphy
119,Electronics and Communication Engineering,None
120,Math,applied_mathematics
121,Math,pure_mathematics
122,E &TC,None
123,Chemistry,electrochemistry
124,Chemistry,femtochemistry
125,Chemistry,geochemistry
126,Chemistry,immunochemistry
127,Chemistry,inorganic_chemistry
128,Chemistry,organic_chemistry
129,Chemistry,photochemistry
130,Chemistry,physical_chemistry
131,Chemistry,radiochemistry
132,Chemistry,surface_chemistry
133,Chemistry,thermochemistry
134,Electronics and telecommunication,None
135,ECE,None
136,Electronics Engg.,None
137,MPC,None
138,Multimedia and Animation,None
139,Multi Media Development,None
140,Sci,None
141,Electronics and Telecom,None
142,EEE,None
143,Electronics & Télécommunication,None
144,Chemical,alar
145,Chemical,bactericide
146,Chemical,carbon_tetrahalide
147,Chemical,carrier
148,Chemical,compound
149,Chemical,congener
