,source,target
0,Javascript / HTML Developer,None
1,Senior technical Lead,None
2,Sr. TechLead,None
3,Senior TechLead,None
4,Computer Scientist,None
5,Project Architect,None
6,architect,creator
7,Technical Solutions Architect,None
8,Associate Architect,None
9,Architect Resume,None
10,Jr. Ruby on Rails Developer,None
11,Associated Software Developer,None
12,Senior Developer,None
13,Software Developer,None
14,Senior Software Developer,None
15,Senior Development Engineer,None
16,Development Engineer,None
17,Sr. Programmer,None
18,Sr. Software developer,None
19,Software Development Engineer,None
20,Software Developer (Java),None
21,SOFTWARE Developer,None
22,software developers,None
23,Scrum Master,None
24,Magento Frontend Developer,None
25,Analytics Lead,None
26,Lead / Senior Team Member,None
27,Software Team Leader,None
28,Team Lead,None
29,Asst. Team Leader,None
30,offshore lead,None
31,Senior Product Lead,None
32,Team lead,None
33,Mobile Front End Development,None
34,Multimedia Programmer,None
35,system administrator,None
36,SAP Functional Technical Support,None
37,Call Center Executer,None
38,Technical Support,None
39,Support Developer,None
40,Server Administrator,None
41,Support Resume,None
42,DB designer,None
43,Tableau Developer,None
44,Junior PHP Developer,None
45,Web Application Developer,None
46,Senior Design Engineer,None
47,Design Engineer,None
48,Angulars Js/Javascript Developer,None
49,Sr. Developer,None
50,senior Software Professional Developer,None
51,Senior Developer,None
52,MSCRM Technical Consultant,None
53,Junior Survey Consultant,None
54,web developer,None
55,Associate Web Developer,None
56,Front End Web Developer,None
57,Web Developer,None
58,Sr Production Engineer,None
59,Associate System Analyst,None
60,Analyst System Development,None
61,System Analyst,None
62,Project Instructor,None
63,Software programmer,None
64,Front end web & JS developer,None
65,Wordpress / UI Developer,None
66,PHP PROGRAMMER,None
67,PHP Programmer,None
68,Java & Google Apps Developer/UI Designer,None
69,Assistant consultant,None
70,Assistant Team Lead,None
71,freelance web developer,None
72,Freelancer,worker
73,Application Development Analyst,None
74,Analyst-System Developer,None
75,Software Developer Analyst,None
76,Technology Consultant,None
77,Technical consultant,None
78,Technologist,person
79,Technologists,person
80,Sr. Web/UI Consultant Software,None
81,Consultant Technology,None
82,SDET,None
83,Developer/UI Lead,None
84,UI Lead & Senior ExtJS developer,None
85,Java/J2EE developer,None
86,Technology Analyst,None
87,Information Technology Analyst,None
88,Web/Software Developer,None
89,JavaTeam Lead,None
90,Dojo Developer,None
91,SAP UI5 Developer,None
92,WordPress Developer,None
93,Web Front End Development,None
94,Project Engineer,None
95,Sr PHP Developer,None
96,jr software developer,None
97,Junior Software Developer,None
98,QA ​​ Engineer,None
99,Quality Assurance Engineer,None
100,Software QA Engineer,None
101,Devops Engineer,None
102,Lead DevOps Engineer,None
103,Developer & DevOps Engineer,None
104,Lead Angular JS Developer,None
105,UI Developer/Drupal Themer,None
106,database resume,None
107,Google Apps Developer/ UI Designer,None
108,Google Apps Developer,None
109,CAMPUS MANAGER,None
110,Web Designer,None
111,Website Designer,None
112,web designer,None
113,WEB DESIGNER,None
114,jquery and javascript developer,None
115,Web/UI and Java Developer,None
116,UI Lead,None
117,Web UI Developer,None
118,Database Administrator,None
119,DB ADMINISTRATOR,None
120,Principal Software Engineer,None
121,Associate Tech Specialist,None
122,Technical Specialist,None
123,Senior Subject Matter Expert,None
124,Jr. Web Developer,None
125,Trainee Web developer,None
126,Junior web developer,None
127,JUNIOR WEB DEVELOPER,None
128,UI Development,None
129,UIDeveloper,None
130,Front End Developer (User Experience),None
131,UI Engineer,None
132,UI and development,None
133,Userinterface Developer,None
134,User Interface Developer,None
135,UI Developer,None
136,Assoc SQA Engineer,None
137,Tester,inquirer
138,Performance Test Engineer,None
139,Testers,inquirer
140,Test Engineer Resume,None
141,Front end and Back end developer,None
142,DevOps Resume,None
143,Sr. .Net developer,None
144,php Desingner,None
145,PHP Developer,None
146,Multimedia Developer,None
147,HTML5/JavaScript Developer,None
148,Web Content Analyser,None
149,Senior Angular JS/Javascript Developer,None
150,Sector,plane_figure
151,UI Developer / Front End Engineer,None
152,Graphics Designer,None
153,GRAPHIC DESIGNER,None
154,Sr. Associate Engg,None
155,Analyst,expert
156,Analyst Programmer,None
157,Programmer Analyst,None
158,Sr. Software developer and DB designer,None
159,Senior Interactive Developer,None
160,UI expert,None
161,UI UX Designer,None
162,Ruby On Rails Developer,None
163,Sr. Associate Projects,None
164,SYSTEM INTEGRATOR,None
165,Application UI Development,None
166,Assistant Tech Lead,None
167,development lead,None
168,Tech lead,None
169,TechLead,None
170,TL,metallic_element
171,SR. TECH LEAD,None
172,Technical Lead,None
173,Lead Associate Software,None
174,Tech Lead,None
175,Technical Lead,None
176,bigdata resume,None
177,Officer – Information Technology,None
178,Mentor,intellectual
179,AWS Developer,None
180,Software Developer Intern,None
181,intern,doctor
182,Technology Lead,None
183,Designer and Lead Developer,None
184,API Developer,None
185,Module Lead(UI),None
186,Project Lead,None
187,IT Consultant,None
188,SSE,compass_point
189,Senior Software Engineer,None
190,Full Stack JavaScript Developer,None
191,Software Programmer,None
192,Senior HMI developer,None
193,Frontend UI Developer,None
194,Senior Software Developer,None
195,Senior Software Engineer,None
196,Senior UI Developer,None
197,Specialist,expert
198,Senior Software Analyst,None
199,Developer,creator
200,Sr Software Developer,None
201,Individual Contributor,None
202,Programmers,computer_user
203,Programmers,engineer
204,Jr.Software Engineer,None
205,S/W engineer,None
206,Frontend Engineer,None
207,Associate Software,None
208,Subject Matter Expert,None
209,Interactive Developer,None
210,Sr. S/W Engineer,None
211,Full Stack Web Developer,None
212,Sr.Software Engineer,None
213,Senior Developer Mobility,None
214,Multimedia Programmer,None
215,Junior Java Developer,None
216,Flex Developer,None
217,Full-Stack developer,None
218,Senior Software Analyst,None
219,ServiceNow Developer,None
220,Android Mobile Application Developer,None
221,Member of Technical Staff,None
222,MEAN stack developer,None
223,SENIOR WEB DEVELOPER,None
224,Staff Product Developer,None
225,Software Developer,None
226,Full Stack Developer,None
227,SharePoint Developer,None
228,Flash Developer,None
229,Senior programmer,None
230,Specialist - Product Dev,None
231,Associate (Developer),None
232,Member Technical,None
233,Software Engineer,None
234,Senior Interactive Developer,None
235,Consultant,authority
236,developer resume,None
237,UI – JavaScript Developer,None
238,Js developer,None
239,Javascript developer,None
240,Javascript programmer,None
241,Javascript Developer,None
242,JavaScript Developer,None
243,Trainee Engineer,None
244,Software Traniee,None
245,Traniee,None
246,Staff Software Engineer,None
247,Web Designer & Developer,None
248,Designer & Developer,None
249,Web Developer and Designer,None
250,Web designer & developer,None
251,Web Design and Developer,None
252,Web Developer Designer,None
253,Professional -1 Product Developer,None
254,Product Developer,None
255,Java developer,None
256,Java Developer,None
257,Test Analyst,None
258,Assurance Analyst,None
259,Senior Programmer Analyst,None
260,User interface enhancement,None
261,Associate Projects,None
262,Junior Associate Projects,None
263,Associate - Projects,None
264,PHP/HTML Developer,None
265,PHP Developer/Team Leader,None
266,Android and HTML5 developer,None
267,Asst Manager,None
268,R&D Engineer,None
269,S.E.,None
270,Senior Software Engineer,None
271,Sr. Software Engineer,None
272,Software Design Engineer,None
273,Executive Software Engineer,None
274,Applications Engineer,None
275,SE,antioxidant
276,SE,chemical_element
277,ASE,None
278,Senior Engineer,None
279,Senior S/W Engg,None
280,Junior software engineer,None
281,Software Development Engineer,None
282,S/W Engineer,None
283,Software Engineer,None
284,Salesforce Developer,None
285,Assistant Manager,None
286,Assistant Manager – Analyst,None
287,Interactive Developer,None
288,Front And Admin Panel development,None
289,TechnoFunctional Support,None
290,Engineering Support Team Lead,None
291,Project Trainee,None
292,Trainee Engineer,None
293,TRAINEE SOFTWARE ENGINEER,None
294,Development Trainee,None
295,Software Engineer Trainee,None
296,Trainee Developer,None
297,Trainee Software Programmer,None
298,Trainee Software Engineer,None
299,AVP,None
300,Assistant Vice President,None
301,Sr. Java Trainer,None
302,Professional Java Trainer,None
303,Java Trainer,None
304,Trainer,leader
305,Individual Contributor,None
306,Offshore Applications Administrator,None
307,Associated Software Engineer,None
308,ASSOCIATE SOFTWARE ENGINEER,None
309,associate software engineer,None
310,Associate Software Engineer,None
311,BA associate,None
312,Business Technology Analyst,None
313,business Analyst,None
314,Business analyst resume,None
315,IT Engineer,None
316,Telecom Engineer,None
317,ERP And System Engineer,None
318,Assistant Systems Engineer,None
319,System Engineer,None
320,Sr. UI Developer,None
321,BPO,None
322,Call Center Executer,None
323,BPO resume,None
324,Founder,inflammation
325,Senior Consultant,None
326,Consultant P3,None
327,Consultant (Senior Developer),None
328,Assistant Consultant,None
329,Consultant-AS-Trainee,None
330,junior technical consultant,None
331,SFDC Consultant,None
332,Associate Consultant - Technology,None
333,Software Consultant,None
334,Consultant,authority
335,lead(Consultant),None
336,Backend Development Software Engineer,None
337,Data-Live Analyst,None
338,Lead UI / UX,None
339,Technical Professional,None
340,SAP UI5 Consultant,None
341,FullStack Developer,None
342,Full Stack Developer,None
343,Flex/Flash Developer,None
344,Member in the code development team,None
345,Team member,None
346,Associate Technical Lead,None
347,Associate Tech Lead,None
348,Product Consultant,None
349,Senior Software Consultant,None
350,Associative Programmer,None
351,Programmer,computer_user
352,Programmer,engineer
353,Associate IT Consultant,None
354,Associate Consultant,None
355,Senior Member Technical,None
356,Member Technical,None
357,member technical staff,None
358,Lead & Developer,None
359,Lead/Developer,None
360,lead Developer,None
361,Lead Developer,None
362,Sr. Application Analyst,None
363,Sr. Software Analyst,None
364,SeniorSoftware Analyst,None
365,Senior Analyst,None
366,Android developer,None
367,Software Developer – PHP/ AngularJS,None
368,Associate (JavaScript),None
369,Module Lead,None
370,MODULE LEADER,None
371,Module Leader,None
372,Sr. Programmer,None
373,Senior Programmer,None
374,Frontend developer,None
375,Frontend Developer,None
376,frontend Developer,None
377,Front-End Developer,None
378,Senior Front End Developer,None
379,Front End Developer,None
380,Front End Development,None
381,Front End Programmer,None
382,Front end developer,None
383,Software Quality Analyst,None
384,QA Analyst,None
385,Developers,creator
386,Incidence,frequency
387,Systems Engineer,None
388,Project Manager,None
389,Qlikview developer,None
390,Onsite Coordinator,None
391,Onsite Coordinator,None
392,Senior Associate,None
393,Senior Technical Associate,None
394,Senior associate,None
395,Junior Flash Programmer,None
396,Lead Engineer,None
397,TPM,None
398,Associate Technical Product Manager,None
399,Product Manager,None
400,Technical Manager,None
401,Product Manager Resume,None
402,Application Software Developer,None
403,App Developer & Designer,None
404,Application Developer,None
405,SR Consultant,None
406,Sr.Consultant,None
407,Senior Consultant,None
408,Front End Developer/Product Developer,None
409,Node JS API developer,None
410,UI Designer,None
411,Sr. WebDeveloper,None
412,Senior WebDeveloper,None
413,Software Lead,None
414,tech lead,None
415,Sr. System Engineer,None
416,Assistant Systems Engineer,None
417,Senior System Engineer,None
418,Sr. Assistant Systems Engineer,None
419,Senior Systems Engineer,None
420,Solutions Engineer,None
421,Junior Digital Cartographer,None
422,Cartographer,geographer
423,BMS Operator,None
424,Sr .Net Analyst,None
425,Senior .NET Developer (Analyst),None
426,Team Lead/Senior Cognos Developer,None
427,Flash Programmer /Developer,None
428,Flash Programmer,None
429,Subject Matter Expert,None
