,source,target
0,Javascript / HTML Developer,None
1,Senior technical Lead,None
2,Sr. TechLead,None
3,Senior TechLead,None
4,Computer Scientist,None
5,Project Architect,None
6,architect,landscape_architect
7,architect,town
8,Technical Solutions Architect,None
9,Associate Architect,None
10,Architect Resume,None
11,Jr. Ruby on Rails Developer,None
12,Associated Software Developer,None
13,Senior Developer,None
14,Software Developer,None
15,Senior Software Developer,None
16,Senior Development Engineer,None
17,Development Engineer,None
18,Sr. Programmer,None
19,Sr. Software developer,None
20,Software Development Engineer,None
21,Software Developer (Java),None
22,SOFTWARE Developer,None
23,software developers,None
24,Scrum Master,None
25,Magento Frontend Developer,None
26,Analytics Lead,None
27,Lead / Senior Team Member,None
28,Software Team Leader,None
29,Team Lead,None
30,Asst. Team Leader,None
31,offshore lead,None
32,Senior Product Lead,None
33,Team lead,None
34,Mobile Front End Development,None
35,Multimedia Programmer,None
36,system administrator,None
37,SAP Functional Technical Support,None
38,Call Center Executer,None
39,Technical Support,None
40,Support Developer,None
41,Server Administrator,None
42,Support Resume,None
43,DB designer,None
44,Tableau Developer,None
45,Junior PHP Developer,None
46,Web Application Developer,None
47,Senior Design Engineer,None
48,Design Engineer,None
49,Angulars Js/Javascript Developer,None
50,Sr. Developer,None
51,senior Software Professional Developer,None
52,Senior Developer,None
53,MSCRM Technical Consultant,None
54,Junior Survey Consultant,None
55,web developer,None
56,Associate Web Developer,None
57,Front End Web Developer,None
58,Web Developer,None
59,Sr Production Engineer,None
60,Associate System Analyst,None
61,Analyst System Development,None
62,System Analyst,None
63,Project Instructor,None
64,Software programmer,None
65,Front end web & JS developer,None
66,Wordpress / UI Developer,None
67,PHP PROGRAMMER,None
68,PHP Programmer,None
69,Java & Google Apps Developer/UI Designer,None
70,Assistant consultant,None
71,Assistant Team Lead,None
72,freelance web developer,None
73,Application Development Analyst,None
74,Analyst-System Developer,None
75,Software Developer Analyst,None
76,Technology Consultant,None
77,Technical consultant,None
78,Technologist,aeronautical_engineer
79,Technologist,aerospace_engineer
80,Technologist,army_engineer
81,Technologist,automotive_engineer
82,Technologist,civil_engineer
83,Technologist,electrical_engineer
84,Technologist,marine_engineer
85,Technologist,mechanical_engineer
86,Technologist,metallurgist
87,Technologist,mining_engineer
88,Technologist,programmer
89,Technologist,rocket_engineer
90,Technologist,surveyor
91,Technologists,aeronautical_engineer
92,Technologists,aerospace_engineer
93,Technologists,army_engineer
94,Technologists,automotive_engineer
95,Technologists,civil_engineer
96,Technologists,electrical_engineer
97,Technologists,marine_engineer
98,Technologists,mechanical_engineer
99,Technologists,metallurgist
100,Technologists,mining_engineer
101,Technologists,programmer
102,Technologists,rocket_engineer
103,Technologists,surveyor
104,Sr. Web/UI Consultant Software,None
105,Consultant Technology,None
106,SDET,None
107,Developer/UI Lead,None
108,UI Lead & Senior ExtJS developer,None
109,Java/J2EE developer,None
110,Technology Analyst,None
111,Information Technology Analyst,None
112,Web/Software Developer,None
113,JavaTeam Lead,None
114,Dojo Developer,None
115,SAP UI5 Developer,None
116,WordPress Developer,None
117,Web Front End Development,None
118,Project Engineer,None
119,Sr PHP Developer,None
120,jr software developer,None
121,Junior Software Developer,None
122,QA ​​ Engineer,None
123,Quality Assurance Engineer,None
124,Software QA Engineer,None
125,Devops Engineer,None
126,Lead DevOps Engineer,None
127,Developer & DevOps Engineer,None
128,Lead Angular JS Developer,None
129,UI Developer/Drupal Themer,None
130,database resume,None
131,Google Apps Developer/ UI Designer,None
132,Google Apps Developer,None
133,CAMPUS MANAGER,None
134,Web Designer,None
135,Website Designer,None
136,web designer,None
137,WEB DESIGNER,None
138,jquery and javascript developer,None
139,Web/UI and Java Developer,None
140,UI Lead,None
141,Web UI Developer,None
142,Database Administrator,None
143,DB ADMINISTRATOR,None
144,Principal Software Engineer,None
145,Associate Tech Specialist,None
146,Technical Specialist,None
147,Senior Subject Matter Expert,None
148,Jr. Web Developer,None
149,Trainee Web developer,None
150,Junior web developer,None
151,JUNIOR WEB DEVELOPER,None
152,UI Development,None
153,UIDeveloper,None
154,Front End Developer (User Experience),None
155,UI Engineer,None
156,UI and development,None
157,Userinterface Developer,None
158,User Interface Developer,None
159,UI Developer,None
160,Assoc SQA Engineer,None
161,Performance Test Engineer,None
162,Test Engineer Resume,None
163,Front end and Back end developer,None
164,DevOps Resume,None
165,Sr. .Net developer,None
166,php Desingner,None
167,PHP Developer,None
168,Multimedia Developer,None
169,HTML5/JavaScript Developer,None
170,Web Content Analyser,None
171,Senior Angular JS/Javascript Developer,None
172,UI Developer / Front End Engineer,None
173,Graphics Designer,None
174,GRAPHIC DESIGNER,None
175,Sr. Associate Engg,None
176,Analyst,assayer
177,Analyst,intelligence_analyst
178,Analyst,systems_analyst
179,Analyst Programmer,None
180,Programmer Analyst,None
181,Sr. Software developer and DB designer,None
182,Senior Interactive Developer,None
183,UI expert,None
184,UI UX Designer,None
185,Ruby On Rails Developer,None
186,Sr. Associate Projects,None
187,SYSTEM INTEGRATOR,None
188,Application UI Development,None
189,Assistant Tech Lead,None
190,development lead,None
191,Tech lead,None
192,TechLead,None
193,SR. TECH LEAD,None
194,Technical Lead,None
195,Lead Associate Software,None
196,Tech Lead,None
197,Technical Lead,None
198,bigdata resume,None
199,Officer – Information Technology,None
200,Mentor,sage
201,AWS Developer,None
202,Software Developer Intern,None
203,Technology Lead,None
204,Designer and Lead Developer,None
205,API Developer,None
206,Module Lead(UI),None
207,Project Lead,None
208,IT Consultant,None
209,Senior Software Engineer,None
210,Full Stack JavaScript Developer,None
211,Software Programmer,None
212,Senior HMI developer,None
213,Frontend UI Developer,None
214,Senior Software Developer,None
215,Senior Software Engineer,None
216,Senior UI Developer,None
217,Specialist,attache
218,Specialist,canonist
219,Specialist,criminologist
220,Specialist,crystallographer
221,Specialist,dietician
222,Specialist,educationist
223,Specialist,enologist
224,Specialist,fingerprint_expert
225,Specialist,germanist
226,Specialist,graphic_designer
227,Specialist,graphologist
228,Specialist,interior_designer
229,Specialist,limnologist
230,Specialist,meteorologist
231,Specialist,optometrist
232,Specialist,orientalist
233,Specialist,teutonist
234,Specialist,tree_surgeon
235,Senior Software Analyst,None
236,Sr Software Developer,None
237,Individual Contributor,None
238,Programmers,cracker
239,Programmers,hacker
240,Programmers,hacker
241,Jr.Software Engineer,None
242,S/W engineer,None
243,Frontend Engineer,None
244,Associate Software,None
245,Subject Matter Expert,None
246,Interactive Developer,None
247,Sr. S/W Engineer,None
248,Full Stack Web Developer,None
249,Sr.Software Engineer,None
250,Senior Developer Mobility,None
251,Multimedia Programmer,None
252,Junior Java Developer,None
253,Flex Developer,None
254,Full-Stack developer,None
255,Senior Software Analyst,None
256,ServiceNow Developer,None
257,Android Mobile Application Developer,None
258,Member of Technical Staff,None
259,MEAN stack developer,None
260,SENIOR WEB DEVELOPER,None
261,Staff Product Developer,None
262,Software Developer,None
263,Full Stack Developer,None
264,SharePoint Developer,None
265,Flash Developer,None
266,Senior programmer,None
267,Specialist - Product Dev,None
268,Associate (Developer),None
269,Member Technical,None
270,Software Engineer,None
271,Senior Interactive Developer,None
272,Consultant,amicus_curiae
273,Consultant,backroom_boy
274,Consultant,beauty_consultant
275,Consultant,counselor
276,Consultant,county_agent
277,Consultant,fashion_consultant
278,Consultant,investment_adviser
279,Consultant,management_consultant
280,Consultant,media_consultant
281,Consultant,military_adviser
282,Consultant,security_consultant
283,Consultant,starets
284,Consultant,tipster
285,developer resume,None
286,UI – JavaScript Developer,None
287,Js developer,None
288,Javascript developer,None
289,Javascript programmer,None
290,Javascript Developer,None
291,JavaScript Developer,None
292,Trainee Engineer,None
293,Software Traniee,None
294,Traniee,None
295,Staff Software Engineer,None
296,Web Designer & Developer,None
297,Designer & Developer,None
298,Web Developer and Designer,None
299,Web designer & developer,None
300,Web Design and Developer,None
301,Web Developer Designer,None
302,Professional -1 Product Developer,None
303,Product Developer,None
304,Java developer,None
305,Java Developer,None
306,Test Analyst,None
307,Assurance Analyst,None
308,Senior Programmer Analyst,None
309,User interface enhancement,None
310,Associate Projects,None
311,Junior Associate Projects,None
312,Associate - Projects,None
313,PHP/HTML Developer,None
314,PHP Developer/Team Leader,None
315,Android and HTML5 developer,None
316,Asst Manager,None
317,R&D Engineer,None
318,S.E.,None
319,Senior Software Engineer,None
320,Sr. Software Engineer,None
321,Software Design Engineer,None
322,Executive Software Engineer,None
323,Applications Engineer,None
324,ASE,None
325,Senior Engineer,None
326,Senior S/W Engg,None
327,Junior software engineer,None
328,Software Development Engineer,None
329,S/W Engineer,None
330,Software Engineer,None
331,Salesforce Developer,None
332,Assistant Manager,None
333,Assistant Manager – Analyst,None
334,Interactive Developer,None
335,Front And Admin Panel development,None
336,TechnoFunctional Support,None
337,Engineering Support Team Lead,None
338,Project Trainee,None
339,Trainee Engineer,None
340,TRAINEE SOFTWARE ENGINEER,None
341,Development Trainee,None
342,Software Engineer Trainee,None
343,Trainee Developer,None
344,Trainee Software Programmer,None
345,Trainee Software Engineer,None
346,AVP,None
347,Assistant Vice President,None
348,Sr. Java Trainer,None
349,Professional Java Trainer,None
350,Java Trainer,None
351,Trainer,animal_trainer
352,Trainer,coach
353,Individual Contributor,None
354,Offshore Applications Administrator,None
355,Associated Software Engineer,None
356,ASSOCIATE SOFTWARE ENGINEER,None
357,associate software engineer,None
358,Associate Software Engineer,None
359,BA associate,None
360,Business Technology Analyst,None
361,business Analyst,None
362,Business analyst resume,None
363,IT Engineer,None
364,Telecom Engineer,None
365,ERP And System Engineer,None
366,Assistant Systems Engineer,None
367,System Engineer,None
368,Sr. UI Developer,None
369,BPO,None
370,Call Center Executer,None
371,BPO resume,None
372,Senior Consultant,None
373,Consultant P3,None
374,Consultant (Senior Developer),None
375,Assistant Consultant,None
376,Consultant-AS-Trainee,None
377,junior technical consultant,None
378,SFDC Consultant,None
379,Associate Consultant - Technology,None
380,Software Consultant,None
381,Consultant,amicus_curiae
382,Consultant,backroom_boy
383,Consultant,beauty_consultant
384,Consultant,counselor
385,Consultant,county_agent
386,Consultant,fashion_consultant
387,Consultant,investment_adviser
388,Consultant,management_consultant
389,Consultant,media_consultant
390,Consultant,military_adviser
391,Consultant,security_consultant
392,Consultant,starets
393,Consultant,tipster
394,lead(Consultant),None
395,Backend Development Software Engineer,None
396,Data-Live Analyst,None
397,Lead UI / UX,None
398,Technical Professional,None
399,SAP UI5 Consultant,None
400,FullStack Developer,None
401,Full Stack Developer,None
402,Flex/Flash Developer,None
403,Member in the code development team,None
404,Team member,None
405,Associate Technical Lead,None
406,Associate Tech Lead,None
407,Product Consultant,None
408,Senior Software Consultant,None
409,Associative Programmer,None
410,Programmer,cracker
411,Programmer,hacker
412,Programmer,hacker
413,Associate IT Consultant,None
414,Associate Consultant,None
415,Senior Member Technical,None
416,Member Technical,None
417,member technical staff,None
418,Lead & Developer,None
419,Lead/Developer,None
420,lead Developer,None
421,Lead Developer,None
422,Sr. Application Analyst,None
423,Sr. Software Analyst,None
