,source,target
0,Mobiles,Mobile
1,Mobiles,Mobile_River
2,Mobiles,Mobile
3,Mobiles,mobile
4,mobiles,Mobile
5,mobiles,Mobile_River
6,mobiles,Mobile
7,mobiles,mobile
8,device,device
9,device,device
10,device,device
11,device,gimmick
12,device,twist
13,device,device
14,device,device
15,mobiles,Mobile
16,mobiles,Mobile_River
17,mobiles,Mobile
18,mobiles,mobile
19,device,device
20,device,device
21,device,device
22,device,gimmick
23,device,twist
24,device,device
25,device,device
26,devices,devices
27,devices,device
28,devices,device
29,devices,device
30,devices,gimmick
31,devices,twist
32,devices,device
33,devices,device
34,devices,devices
35,devices,device
36,devices,device
37,devices,device
38,devices,gimmick
39,devices,twist
40,devices,device
41,devices,device
42,leap,leap
43,leap,leaping
44,leap,spring
45,leap,saltation
46,leap,bound
47,leap,bounce
48,leap,leap
49,leap,jump
50,leap,saltation
51,leap,jump
52,leap,leap
53,leap,leap
54,leap,jump
55,leap,leap
56,leap,bound
57,leap,spring
58,leap,leap
59,leap,jump
60,leap,jump
61,leap,leap
62,leap,jump_off
63,leap,jump
64,leap,leap
65,Joystick,stick
66,Joystick,control_stick
67,Joystick,joystick
68,Joystick,joystick
69,Devices,devices
70,Devices,device
71,Devices,device
72,Devices,device
73,Devices,gimmick
74,Devices,twist
75,Devices,device
76,Devices,device
77,Oculus,eye
78,Oculus,oculus
79,Oculus,optic
80,DayDream,reverie
81,DayDream,revery
82,DayDream,daydream
83,DayDream,daydreaming
84,DayDream,oneirism
85,DayDream,air_castle
86,DayDream,castle_in_the_air
87,DayDream,castle_in_Spain
88,DayDream,dream
89,DayDream,daydream
90,DayDream,woolgather
91,DayDream,stargaze
92,DayDream,daydream
93,DayDream,moon
94,television,television
95,television,telecasting
96,television,TV
97,television,video
98,television,television
99,television,television_system
100,television,television_receiver
101,television,television
102,television,television_set
103,television,tv
104,television,tv_set
105,television,idiot_box
106,television,boob_tube
107,television,telly
108,television,goggle_box
109,TERCEL,tiercel
110,TERCEL,tercel
111,TERCEL,tercelet
112,connecter,connection
113,connecter,connexion
114,connecter,connector
115,connecter,connecter
116,connecter,connective
117,laptops,laptop
118,laptops,laptop_computer
119,mouse,mouse
120,mouse,shiner
121,mouse,black_eye
122,mouse,mouse
123,mouse,mouse
124,mouse,mouse
125,mouse,computer_mouse
126,mouse,sneak
127,mouse,mouse
128,mouse,creep
129,mouse,pussyfoot
130,mouse,mouse
131,projector,projector
132,projector,projector
133,DVDs,videodisk
134,DVDs,videodisc
135,DVDs,DVD
136,joystick,stick
137,joystick,control_stick
138,joystick,joystick
139,joystick,joystick
140,Transducer,transducer
141,odometer,odometer
142,odometer,hodometer
143,odometer,mileometer
144,odometer,milometer
145,beacons,beacon
146,beacons,beacon_fire
147,beacons,radio_beacon
148,beacons,beacon
149,beacons,beacon
150,beacons,lighthouse
151,beacons,beacon_light
152,beacons,pharos
153,beacons,beacon
154,beacons,beacon
155,Spirometer,spirometer
156,inch,inch
157,inch,in
158,inch,column_inch
159,inch,inch
160,inch,edge
161,inch,inch
162,Refrigerator,refrigerator
163,Refrigerator,icebox
164,Handsets,handset
165,Handsets,French_telephone
166,sprinkler,sprinkler
167,FAX,facsimile
168,FAX,facsimile_machine
169,FAX,fax
170,FAX,fax
171,FAX,telefax
172,FAX,facsimile
173,Micrometer,micron
174,Micrometer,micrometer
175,Micrometer,micrometer
176,Micrometer,micrometer_gauge
177,Micrometer,micrometer_caliper
178,Mouse,mouse
179,Mouse,shiner
180,Mouse,black_eye
181,Mouse,mouse
182,Mouse,mouse
183,Mouse,mouse
184,Mouse,computer_mouse
185,Mouse,sneak
186,Mouse,mouse
187,Mouse,creep
188,Mouse,pussyfoot
189,Mouse,mouse
190,Radio,radio
191,Radio,radiocommunication
192,Radio,wireless
193,Radio,radio_receiver
194,Radio,receiving_set
195,Radio,radio_set
196,Radio,radio
197,Radio,tuner
198,Radio,wireless
199,Radio,radio
200,Radio,wireless
201,Radio,radio
202,Radio,radio
203,Caliper,caliper
204,Caliper,calliper
205,Caliper,caliper
206,Caliper,calliper
207,Thermometer,thermometer
208,trampolines,trampoline
209,Sensors,detector
210,Sensors,sensor
211,Sensors,sensing_element
212,Forklifts,forklift
213,drones,drone
214,drones,monotone
215,drones,drone
216,drones,droning
217,drones,dawdler
218,drones,drone
219,drones,laggard
220,drones,lagger
221,drones,trailer
222,drones,poke
223,drones,drone
224,drones,pilotless_aircraft
225,drones,radio-controlled_aircraft
226,drones,drone
227,drones,drone_pipe
228,drones,bourdon
229,drones,drone
230,drones,drone
231,drones,drone_on
232,wires,wire
233,wires,wire
234,wires,conducting_wire
235,wires,wire
236,wires,telegram
237,wires,wire
238,wires,wire
239,wires,cable
240,wires,telegraph
241,wires,wire
242,wires,wire
243,wires,wire
244,wires,electrify
245,wires,wire
246,VoLTE,Volta
247,VoLTE,Count_Alessandro_Volta
248,VoLTE,Conte_Alessandro_Volta
249,VoLTE,Conte_Alessandro_Giuseppe_Antonio_Anastasio_Volta
250,VoLTE,Volta
251,cables,cable
252,cables,cablegram
253,cables,overseas_telegram
254,cables,cable
255,cables,line
256,cables,transmission_line
257,cables,cable
258,cables,cable
259,cables,cable_length
260,cables,cable's_length
261,cables,cable_television
262,cables,cable
263,cables,cable
264,cables,cable_television
265,cables,cable_system
266,cables,cable_television_service
267,cables,cable
268,cables,telegraph
269,cables,wire
270,cables,cable
271,Tuner,tuner
272,Tuner,piano_tuner
273,Tuner,radio_receiver
274,Tuner,receiving_set
275,Tuner,radio_set
276,Tuner,radio
277,Tuner,tuner
278,Tuner,wireless
279,headset,headset
280,Pebble,pebble
281,EtherNet,ethernet
282,accelerometer,accelerometer
283,Webcam,webcam
284,Laptops,laptop
285,Laptops,laptop_computer
286,telephones,telephone
287,telephones,phone
288,telephones,telephone_set
289,telephones,telephone
290,telephones,telephony
291,telephones,call
292,telephones,telephone
293,telephones,call_up
294,telephones,phone
295,telephones,ring
