,source,target
0,device,instrumentality
1,device,instrumentality
2,devices,inclination
3,devices,inclination
4,leap,jump
5,Realwear,None
6,Joystick,lever
7,Devices,inclination
8,Oculus,sense_organ
9,HTC,None
10,DayDream,dream
11,JioVR,None
12,JioCinemaVR,None
13,television,broadcasting
14,Ipads,None
15,GPU,None
16,Fxx,None
17,TERCEL,hawk
18,connecter,instrumentality
19,laptops,portable_computer
20,MacBook,None
21,mouse,rodent
22,projector,optical_device
23,RDI,None
24,ipads,None
25,DVDs,optical_disk
26,joystick,lever
27,SSD,None
28,Qualcomm,None
29,BLDC,None
30,Transducer,electrical_device
31,odometer,meter
32,beacons,visual_signal
33,CouchbaseLite,None
34,LevelSensor,None
35,ITPMs,None
36,8000,None
37,Spirometer,measuring_instrument
38,inch,linear_unit
39,DVR,None
40,Refrigerator,white_goods
41,FWSM,None
42,Handsets,telephone
43,Gamelto,None
44,SUVIKASIRISDIGITAL,None
45,sprinkler,mechanical_device
46,FAX,duplicator
47,ILD,None
48,Micrometer,metric_linear_unit
49,Gluco,None
50,Mouse,rodent
51,Radio,broadcasting
52,RateMonitor,None
53,Caliper,measuring_instrument
54,Devs,None
55,EquateMobile,None
56,TeleMatics,None
57,Mahr,None
58,encoders,None
59,Thermometer,measuring_instrument
60,Barcodes,None
61,trampolines,gymnastic_apparatus
62,HaaS,None
63,Sensors,device
64,Forklifts,self-propelled_vehicle
65,drones,bee
66,wires,ligament
67,cables,telegram
68,Tuner,skilled_worker
69,headset,telephone_receiver
70,Pebble,rock
71,GeMAC,None
72,podrones,None
73,EtherNet,local_area_network
74,Applewatch,None
75,accelerometer,measuring_instrument
76,Webcam,digital_camera
77,Laptops,portable_computer
78,telephones,electronic_equipment
79,Propeller,mechanical_device
80,chargers,warhorse
81,headsets,telephone_receiver
82,Infotainment,movie
83,Equipments,instrumentality
84,Chips,potato
85,COMPUTERS,machine
86,Addapter,None
87,finger,digit
88,finger,extremity
89,landlines,telephone_line
90,adapters,musician
91,Servers,dining-room_attendant
92,Minitab,None
93,zebra,equine
94,moblile,None
95,Telegaints,None
96,Magnetometer,meter
97,IOCTL,None
98,NPAV,None
99,iPods,stereo
100,refrigerator,white_goods
101,Epsilon,letter
102,roamer,traveler
103,Mechanisim,None
104,lamps,source_of_illumination
105,Oven,kitchen_appliance
106,Heomoglobin,None
107,fridge,refrigerator
108,DRONE,bee
109,phones,electronic_equipment
110,TensorflowLight,None
111,Computing,engineering
112,Cameras,photographic_equipment
113,Projectors,optical_device
114,Television,broadcasting
115,sim,None
116,Microphone,electro-acoustic_transducer
117,Webcams,digital_camera
118,Microcontrollers,None
119,232,None
120,toner,solution
121,satellites,equipment
122,freezer,electric_refrigerator
123,rockets,vehicle
124,Oscilloscope,electronic_equipment
125,landline,telephone_line
126,515,None
127,Enduro,None
128,536,None
129,Gear,wheel
130,RxOffice,None
131,HDTVs,television
132,Phones,electronic_equipment
133,IBeacons,None
134,rings,gymnastic_apparatus
135,asTelecell,None
136,NodeMCU,None
137,Funnel,cone
138,EloTouch,None
139,MutualMobile,None
140,CCTVs,None
141,Compressor,mechanical_device
142,calibrators,None
143,Modeming,None
144,StormTest,None
145,Optsy,None
146,iPhones,None
147,Proximity,nearness
148,Tube,conduit
149,Moniter,None
150,AQI,None
151,FH,None
152,ESK,None
153,Altec,None
154,Disk,round_shape
155,Breakers,wave
156,ventilator,device
157,Ventilator,device
158,Holo,None
159,lens,optical_device
160,Resistors,electrical_device
161,HW,None
162,Thuaraya,None
163,eWatch,None
164,monitor,supervisor
165,Aphace Nginx Server,None
166,folding machine,None
