,source,target
0,device,acoustic_device
1,device,adapter
2,device,afterburner
3,device,agglomerator
4,device,airfoil
5,device,alarm
6,device,appliance
7,device,applicator
8,device,aspergill
9,device,autopilot
10,device,bait
11,device,billiard_marker
12,device,bird_feeder
13,device,blower
14,device,bootjack
15,device,breathalyzer
16,device,breathing_device
17,device,bubbler
18,device,buffer
19,device,catapult
20,device,charger
21,device,clip-on
22,device,comb
23,device,comforter
24,device,conductor
25,device,contraceptive
26,device,converter
27,device,corer
28,device,corrective
29,device,crusher
30,device,cryptograph
31,device,cutoff
32,device,dampener
33,device,damper
34,device,deflector
35,device,dental_appliance
36,device,depressor
37,device,detector
38,device,diestock
39,device,drive
40,device,drop_forge
41,device,elastic_device
42,device,electrical_device
43,device,electronic_device
44,device,energizer
45,device,exercise_device
46,device,explosive_device
47,device,fan
48,device,filter
49,device,fire_extinguisher
50,device,flare
51,device,fumigator
52,device,gas_fixture
53,device,groover
54,device,guard
55,device,heat_exchanger
56,device,heater
57,device,holding_device
58,device,horn
59,device,hydrofoil
60,device,imprint
61,device,indicator
62,device,instrument
63,device,interlock
64,device,interrupter
65,device,jig
66,device,key
67,device,keyboard
68,device,kinetoscope
69,device,knocker
70,device,lift
71,device,lifting_device
72,device,lighter
73,device,machine
74,device,magnet
75,device,mechanism
76,device,memory_device
77,device,musical_instrument
78,device,nest_egg
79,device,noisemaker
80,device,optical_device
81,device,override
82,device,paper_feed
83,device,peeler
84,device,pick
85,device,power_takeoff
86,device,prod
87,device,prompter
88,device,pull
89,device,reflector
90,device,release
91,device,remote_control
92,device,reset
93,device,restraint
94,device,router
95,device,runner
96,device,scratcher
97,device,shoehorn
98,device,shoetree
99,device,shooting_stick
100,device,shredder
101,device,signaling_device
102,device,snowshoe
103,device,sounder
104,device,source_of_illumination
105,device,stabilizer
106,device,stemmer
107,device,straightener
108,device,strengthener
109,device,stylus
110,device,suction_cup
111,device,support
112,device,sweatbox
113,device,synchroflash
114,device,take-up
115,device,teaser
116,device,throwing_stick
117,device,tilter
118,device,tongs
119,device,toy
120,device,trap
121,device,trigger
122,device,valve
123,device,vaporizer
124,device,ventilator
125,device,washboard
126,device,water_cooler
127,device,acoustic_device
128,device,adapter
129,device,afterburner
130,device,agglomerator
131,device,airfoil
132,device,alarm
133,device,appliance
134,device,applicator
135,device,aspergill
136,device,autopilot
137,device,bait
138,device,billiard_marker
139,device,bird_feeder
140,device,blower
141,device,bootjack
142,device,breathalyzer
143,device,breathing_device
144,device,bubbler
145,device,buffer
146,device,catapult
147,device,charger
148,device,clip-on
149,device,comb
150,device,comforter
151,device,conductor
152,device,contraceptive
153,device,converter
154,device,corer
155,device,corrective
156,device,crusher
157,device,cryptograph
158,device,cutoff
159,device,dampener
160,device,damper
161,device,deflector
162,device,dental_appliance
163,device,depressor
164,device,detector
165,device,diestock
166,device,drive
167,device,drop_forge
168,device,elastic_device
169,device,electrical_device
170,device,electronic_device
171,device,energizer
172,device,exercise_device
173,device,explosive_device
174,device,fan
175,device,filter
176,device,fire_extinguisher
177,device,flare
178,device,fumigator
179,device,gas_fixture
180,device,groover
181,device,guard
182,device,heat_exchanger
183,device,heater
184,device,holding_device
185,device,horn
186,device,hydrofoil
187,device,imprint
188,device,indicator
189,device,instrument
190,device,interlock
191,device,interrupter
192,device,jig
193,device,key
194,device,keyboard
195,device,kinetoscope
196,device,knocker
197,device,lift
198,device,lifting_device
199,device,lighter
200,device,machine
201,device,magnet
202,device,mechanism
203,device,memory_device
204,device,musical_instrument
205,device,nest_egg
206,device,noisemaker
207,device,optical_device
208,device,override
209,device,paper_feed
210,device,peeler
211,device,pick
212,device,power_takeoff
213,device,prod
214,device,prompter
215,device,pull
216,device,reflector
217,device,release
218,device,remote_control
219,device,reset
220,device,restraint
221,device,router
222,device,runner
223,device,scratcher
224,device,shoehorn
225,device,shoetree
226,device,shooting_stick
227,device,shredder
228,device,signaling_device
229,device,snowshoe
230,device,sounder
231,device,source_of_illumination
232,device,stabilizer
233,device,stemmer
234,device,straightener
