,source,target
0,Duration,duration
1,Duration,continuance
2,Duration,duration
3,Duration,continuance
4,Duration,duration
5,Duration,length
6,period,time_period
7,period,period_of_time
8,period,period
9,period,period
10,period,period
11,period,period
12,period,geological_period
13,period,period
14,period,menstruation
15,period,menses
16,period,menstruum
17,period,catamenia
18,period,period
19,period,flow
20,period,period
21,period,point
22,period,full_stop
23,period,stop
24,period,full_point
25,Tenure,tenure
26,Tenure,term_of_office
27,Tenure,incumbency
28,Tenure,tenure
29,Tenure,land_tenure
30,Tenure,tenure
31,Migration,migration
32,Migration,migration
33,Migration,migration
34,Migration,migration
35,Dates,date
36,Dates,day_of_the_month
37,Dates,date
38,Dates,escort
39,Dates,date
40,Dates,appointment
41,Dates,engagement
42,Dates,date
43,Dates,particular_date
44,Dates,date
45,Dates,date
46,Dates,date
47,Dates,date
48,Dates,date
49,Dates,date
50,Dates,date_stamp
51,Dates,date
52,Dates,go_steady
53,Dates,go_out
54,Dates,date
55,Dates,see
56,Dates,date
57,Timeline,timeline
58,DURATIONS,duration
59,DURATIONS,continuance
60,DURATIONS,duration
61,DURATIONS,continuance
62,DURATIONS,duration
63,DURATIONS,length
64,D,vitamin_D
65,D,calciferol
66,D,viosterol
67,D,ergocalciferol
68,D,cholecalciferol
69,D,D
70,D,five_hundred
71,D,500
72,D,D
73,D,D
74,D,d
75,D,five_hundred
76,D,500
77,D,d
78,D,vitamin_D
79,D,calciferol
80,D,viosterol
81,D,ergocalciferol
82,D,cholecalciferol
83,D,D
84,D,five_hundred
85,D,500
86,D,D
87,D,D
88,D,d
89,D,five_hundred
90,D,500
91,D,d
92,ration,ration
93,ration,ration
94,ration,ration
95,ration,ration
96,ration,ration_out
