,source,target
0,Date of Employment,None
1,Duration,time_period
2,Project Duration,None
3,Start & end date,None
4,period,fundamental_quantity
5,Time Duration,None
6,Work experience,None
7,Tenure,term
8,Start Date,None
9,Migration,motion
10,TIME PERIOD,None
11,Duration (From – To),None
12,Project Duration (From & To in Month/Year Format),None
13,Dates,day
14,Timeline,chronology
15,Development Time,None
16,DURATIONS,time_period
17,D,fat-soluble_vitamin
18,D,fat-soluble_vitamin
19,ration,fare
20,Durationn,None
21,Duartion,None
22,DurationJun,None
23,DurationJan,None
24,DurationMay,None
25,Dur,None
26,course duration,None
27,6 moths,None
