,source,target
0,Date of Employment,None
1,Duration,clocking
2,Duration,longueur
3,Duration,residence_time
4,Duration,rule
5,Duration,span
6,Duration,stretch
7,Duration,time_scale
8,Duration,value
9,Project Duration,None
10,Start & end date,None
11,period,air_alert
12,period,bimester
13,period,bimillennium
14,period,bout
15,period,bronze_age
16,period,calendar_day
17,period,calendar_month
18,period,century
19,period,clotting_time
20,period,dawn
21,period,day
22,period,day
23,period,decade
24,period,dog_days
25,period,downtime
26,period,drought
27,period,duration
28,period,elapsed_time
29,period,enlistment
30,period,era
31,period,eve
32,period,evening
33,period,evening
34,period,festival
35,period,field_day
36,period,flower
37,period,fortnight
38,period,generation
39,period,golden_age
40,period,great_year
41,period,half-century
42,period,half_life
43,period,honeymoon
44,period,hospitalization
45,period,hour
46,period,hours
47,period,incubation_period
48,period,indian_summer
49,period,indiction
50,period,iron_age
51,period,lactation
52,period,lease
53,period,life
54,period,life
55,period,life
56,period,long_run
57,period,long_time
58,period,lustrum
59,period,mid-april
60,period,mid-august
61,period,mid-december
62,period,mid-february
63,period,mid-january
64,period,mid-july
65,period,mid-june
66,period,mid-march
67,period,mid-may
68,period,mid-november
69,period,mid-october
70,period,mid-september
71,period,midweek
72,period,midwinter
73,period,millennium
74,period,morning
75,period,multistage
76,period,night
77,period,night
78,period,night
79,period,night
80,period,novitiate
81,period,occupation
82,period,olympiad
83,period,overtime
84,period,past
85,period,peacetime
86,period,phase
87,period,phase_of_the_moon
88,period,prehistory
89,period,prohibition
90,period,puerperium
91,period,quadrennium
92,period,quarter-century
93,period,quarter
94,period,question_time
95,period,quinquennium
96,period,rainy_day
97,period,real_time
98,period,real_time
99,period,regulation_time
100,period,reign
101,period,run
102,period,running_time
103,period,school
104,period,season
105,period,season
106,period,season
107,period,semester
108,period,shelf_life
109,period,silly_season
110,period,silver_age
111,period,sleep
112,period,study_hall
113,period,term
114,period,tide
115,period,time
116,period,time
117,period,time_frame
118,period,time_limit
119,period,time_of_life
120,period,time_off
121,period,times
122,period,travel_time
123,period,trial_period
124,period,trimester
125,period,uptime
126,period,usance
127,period,wartime
128,period,watch
129,period,week
130,period,week
131,period,weekend
132,period,window
133,period,work_time
134,period,year
135,period,year
136,period,year
137,period,youth
138,Time Duration,None
139,Work experience,None
140,Tenure,episcopate
141,Tenure,presidency
142,Tenure,vice-presidency
143,Start Date,None
144,Migration,emigration
145,Migration,gold_rush
146,Migration,immigration
147,TIME PERIOD,None
148,Duration (From – To),None
149,Project Duration (From & To in Month/Year Format),None
150,Dates,birthday
151,Dates,maturity
152,Development Time,None
153,DURATIONS,clocking
154,DURATIONS,longueur
155,DURATIONS,residence_time
156,DURATIONS,rule
157,DURATIONS,span
158,DURATIONS,stretch
159,DURATIONS,time_scale
160,DURATIONS,value
161,ration,field_ration
162,Durationn,None
163,Duartion,None
164,DurationJun,None
165,DurationJan,None
166,DurationMay,None
167,Dur,None
168,course duration,None
169,6 moths,None
