,source,target
0,Academic,academician
1,Academic,academic
2,Academic,faculty_member
3,Academic,academic
4,Academic,academic
5,Academic,academic
6,Academic,donnish
7,Academic,pedantic
8,Academics,academician
9,Academics,academic
10,Academics,faculty_member
11,EDUCATIONAL,educational
12,EDUCATIONAL,educational
13,Education,education
14,Education,instruction
15,Education,teaching
16,Education,pedagogy
17,Education,didactics
18,Education,educational_activity
19,Education,education
20,Education,education
21,Education,education
22,Education,education
23,Education,training
24,Education,breeding
25,Education,Department_of_Education
26,Education,Education_Department
27,Education,Education
28,ACADEMIA,academia
29,ACADEMIA,academe
30,Qualifications,qualification
31,Qualifications,making
32,Qualifications,qualification
33,Qualifications,reservation
34,Qualifications,qualification
35,Qualification,qualification
36,Qualification,making
37,Qualification,qualification
38,Qualification,reservation
39,Qualification,qualification
40,SCHOLASTICS,pedant
41,SCHOLASTICS,bookworm
42,SCHOLASTICS,scholastic
43,SCHOLASTICS,Scholastic
44,SCHOLASTICS,pedant
45,SCHOLASTICS,bookworm
46,SCHOLASTICS,scholastic
47,SCHOLASTICS,Scholastic
48,Educations,education
49,Educations,instruction
50,Educations,teaching
51,Educations,pedagogy
52,Educations,didactics
53,Educations,educational_activity
54,Educations,education
55,Educations,education
56,Educations,education
57,Educations,education
58,Educations,training
59,Educations,breeding
60,Educations,Department_of_Education
61,Educations,Education_Department
62,Educations,Education
63,Scholastic,pedant
64,Scholastic,bookworm
65,Scholastic,scholastic
66,Scholastic,Scholastic
67,Scholastic,scholastic
68,Scholastic,scholastic
69,Education,education
70,Education,instruction
71,Education,teaching
72,Education,pedagogy
73,Education,didactics
74,Education,educational_activity
75,Education,education
76,Education,education
77,Education,education
78,Education,education
79,Education,training
80,Education,breeding
81,Education,Department_of_Education
82,Education,Education_Department
83,Education,Education
84,Degree,degree
85,Degree,grade
86,Degree,level
87,Degree,degree
88,Degree,level
89,Degree,stage
90,Degree,point
91,Degree,academic_degree
92,Degree,degree
93,Degree,degree
94,Degree,arcdegree
95,Degree,degree
96,Degree,degree
97,Degree,degree
98,Board,board
99,Board,board
100,Board,plank
101,Board,board
102,Board,board
103,Board,table
104,Board,display_panel
105,Board,display_board
106,Board,board
107,Board,dining_table
108,Board,board
109,Board,control_panel
110,Board,instrument_panel
111,Board,control_board
112,Board,board
113,Board,panel
114,Board,circuit_board
115,Board,circuit_card
116,Board,board
117,Board,card
118,Board,plug-in
119,Board,add-in
120,Board,board
121,Board,gameboard
122,Board,board
123,Board,get_on
124,Board,board
125,Board,room
126,Board,board
127,Board,board
