,source,target
0,Academic,educator
1,Academics,educator
2,EDUCATION & CREDENTIALS,None
3,ACADEMIC PROJECTS/SEMINARS,None
4,Academic and Qualification,None
5,Educational Qualifications,None
6,Education,activity
7,ACADEMIA,world
8,EDUCATION DETAILS,None
9,SUMMARY OF EDUCATIONAL QUALIFICATION,None
10,Academic Credentials,None
11,Educational details,None
12,Qualifications,fitness
13,Educational Background,None
14,Professional Qualification,None
15,Basic Qualifications,None
16,Qualification,fitness
17,PROFESSIONAL QUALIFICATIONS,None
18,Educational Credentials,None
19,Academic Record ,None
20,QUALIFICATIONS SUMMARY,None
21,EDUCATION AND PROFESSIONAL COURSES,None
22,Academic Background,None
23,Educational Experience,None
24,SUMMARY OF QUALIFICATIONS,None
25,Academic Qualifications,None
26,Degrees and Certifications,None
27,SCHOLASTICS,scholar
28,ACADEMIC PERFORMANCE,None
29,Professional Education,None
30,School Education,None
31,SCHOLASTIC CREDENTIALS,None
32,ACADAMIC HIGHLIGHTS,None
33,Education Summary,None
34,ACADEMIC DETAILS,None
35,Education And Certifications,None
36,Formal qualifications,None
37,Academic Profile,None
38,SCHOLASTICS,scholar
39,Technical Qualifications,None
40,Academics Qualification,None
41,Educational & Personal Details,None
42,Academic Qualifications / Affiliations,None
43,Educational Detail,None
44,Technical and Academic Qualification,None
45,Education / Certification,None
46,EDUCATIONAL & PROFESSIONAL DEVELOPMENT,None
47,Education Qualifications,None
48,EDUCATION & PROFESSIONAL DEVELOPMENT,None
49,ACADEMIC DETAILS:,None
50,Educational Profile,None
51,Educations,activity
52,EDUCATION & DEGREE,None
53,EDUCATION PROFILE,None
54,Educational Summary,None
55,PROFESSONAL DEGREE,None
56,Education Qualification Summary,None
57,Education & Certificates,None
58,Last Educational Status,None
59,Education & Qualifications Profile,None
60,EDUCATION & QUALIFICATIONS,None
61,ACADAMIC & PROFESSIONAL CREDENTIAL,None
62,Education & Certifications,None
63,Academic Record,None
64,EDUCATION CREDENTIALS,None
65,Professional/ Academic Education,None
66,ACADEMIC INFORMATION,None
67,SCHOLASTIC RECORD,None
68,EDUCATION / ACCOLADES,None
69,Scholastic Profile,None
70,ACADEMICS BACKGROUND,None
71,Academic Highlights,None
72,ACADEMIC SUMMARY,None
73,Professional and Educational Qualifications,None
74,PERSONAL ACCOMPLISHMENTS,None
75,Scholastic Records,None
76,ACADEMIC CHRONICLE,None
77,ACADEMIC AND EDUCATIONAL QUALIFICATIONS,None
78,EDUCATION AND CREDENTIALS,None
79,QUALIFICATION SUMMARY,None
80,EDUCATIONAL AND PROFESSIONAL DEVELOPEMENT,None
81,Professional and Academic Qualification,None
82,Academics & Professional Chronicle,None
83,Professional and Academic Qualifications,None
84,EDUCATION & TECHNICAL QUALIFICATION,None
85,Academic Education,None
86,Addition Course,None
87,SCHOLASTIC DETAILS,None
88,Academic Qualification & Certifications,None
89,Academic Achievements,None
90,Education & Certification,None
91,Academic / Professional Qualifications,None
92,Professional/Academic Qualifications,None
93,Professional & Educational Qualifications,None
94,EDUCATIONAL & PROFESSIONAL CREDENTIALS,None
95,Scholastic,scholar
96,EDUCATIONAL QUALFICATION,None
97,COLLEGE EDUCATION,None
98,Educational Synopsis,None
99,Education,activity
100,Educational Information,None
101,ACADEMIC SNAPSHOT,None
102,A C A D E M I C S,None
103,EDUCATIONALCREDENTIALS,None
104,Education and Notables,None
105,Academic Credential,None
106,TECHNICAL EDUCATION,None
107,ACADEMICQUALIFICATIONS,None
108,DETAILS OF EDUCATION,None
109,Accomplishments &Academic Background,None
110,Education / Training,None
111,Degree,property
112,Board,committee
113,ACADEMICS AND COURSE,None
114,Educational Status,None
115,Job Title,None
116,Academia Credentials,None
117,EXAMINATION,investigation
118,ACADAMIC,None
119,A CADEMIC Q UALIFICATION,None
120,ACADEMIC QUALIFICATON,None
121,RECORD,evidence
122,passing,football_play
123,EDUC ATIONAL QUALIFIACTION,None
124,Division,army_unit
125,Course,education
126,CourseYearUniversity,None
127,Uni,None
128,DUCATION,None
129,DISTINCTIONS,discrimination
130,UALIFICATIONS,None
131,EDUCTIONAL,None
132,Qualifcation,None
133,QUALIFICATIO,None
134,QULIFICATION,None
135,EDUCATIONALSUMMARY,None
136,QUALIFICAION,None
137,Educatio,None
138,EDUCATIONALQUALIFICATION,None
139,EDUCATIOAL,None
140,ASPECT,feature
141,DISCIPLINE,knowledge_domain
142,coursework,work
143,Degrees,property
144,Qualification,fitness
145,EducationalQualifications,None
146,Qualifications,fitness
147,DEATILS,None
148,EducationQualification,None
149,EducationalQualification,None
150,ACADAMICS,None
151,EDUCATIONS,activity
152,QUALIFIACTION,None
153,ducational,None
154,Qualifica,None
155,InstitutionName,None
156,UniversityYear,None
157,ACCADEMIC,None
158,AcademicProfile,None
159,QUALLIFICATION,None
160,QUALIFICATIONDETAILS,None
161,EducationiDetailsi,None
162,EducationalProfile,None
163,AcademicQualification,None
164,ACEDAMIC,None
165,ACADEMICDETAILS,None
166,EDUCATIONALDETAILS,None
