,source,target
0,Academic,professor
1,Academics,professor
2,EDUCATION & CREDENTIALS,None
3,ACADEMIC PROJECTS/SEMINARS,None
4,Academic and Qualification,None
5,Educational Qualifications,None
6,Education,coeducation
7,Education,continuing_education
8,Education,course
9,Education,elementary_education
10,Education,extension
11,Education,extracurricular_activity
12,Education,higher_education
13,Education,secondary_education
14,Education,team_teaching
15,Education,work-study_program
16,EDUCATION DETAILS,None
17,SUMMARY OF EDUCATIONAL QUALIFICATION,None
18,Academic Credentials,None
19,Educational details,None
20,Qualifications,eligibility
21,Qualifications,ineligibility
22,Educational Background,None
23,Professional Qualification,None
24,Basic Qualifications,None
25,Qualification,eligibility
26,Qualification,ineligibility
27,PROFESSIONAL QUALIFICATIONS,None
28,Educational Credentials,None
29,Academic Record ,None
30,QUALIFICATIONS SUMMARY,None
31,EDUCATION AND PROFESSIONAL COURSES,None
32,Academic Background,None
33,Educational Experience,None
34,SUMMARY OF QUALIFICATIONS,None
35,Academic Qualifications,None
36,Degrees and Certifications,None
37,SCHOLASTICS,purist
38,ACADEMIC PERFORMANCE,None
39,Professional Education,None
40,School Education,None
41,SCHOLASTIC CREDENTIALS,None
42,ACADAMIC HIGHLIGHTS,None
43,Education Summary,None
44,ACADEMIC DETAILS,None
45,Education And Certifications,None
46,Formal qualifications,None
47,Academic Profile,None
48,SCHOLASTICS,purist
49,Technical Qualifications,None
50,Academics Qualification,None
51,Educational & Personal Details,None
52,Academic Qualifications / Affiliations,None
53,Educational Detail,None
54,Technical and Academic Qualification,None
55,Education / Certification,None
56,EDUCATIONAL & PROFESSIONAL DEVELOPMENT,None
57,Education Qualifications,None
58,EDUCATION & PROFESSIONAL DEVELOPMENT,None
59,ACADEMIC DETAILS:,None
60,Educational Profile,None
61,Educations,coeducation
62,Educations,continuing_education
63,Educations,course
64,Educations,elementary_education
65,Educations,extension
66,Educations,extracurricular_activity
67,Educations,higher_education
68,Educations,secondary_education
69,Educations,team_teaching
70,Educations,work-study_program
71,EDUCATION & DEGREE,None
72,EDUCATION PROFILE,None
73,Educational Summary,None
74,PROFESSONAL DEGREE,None
75,Education Qualification Summary,None
76,Education & Certificates,None
77,Last Educational Status,None
78,Education & Qualifications Profile,None
79,EDUCATION & QUALIFICATIONS,None
80,ACADAMIC & PROFESSIONAL CREDENTIAL,None
81,Education & Certifications,None
82,Academic Record,None
83,EDUCATION CREDENTIALS,None
84,Professional/ Academic Education,None
85,ACADEMIC INFORMATION,None
86,SCHOLASTIC RECORD,None
87,EDUCATION / ACCOLADES,None
88,Scholastic Profile,None
89,ACADEMICS BACKGROUND,None
90,Academic Highlights,None
91,ACADEMIC SUMMARY,None
92,Professional and Educational Qualifications,None
93,PERSONAL ACCOMPLISHMENTS,None
94,Scholastic Records,None
95,ACADEMIC CHRONICLE,None
96,ACADEMIC AND EDUCATIONAL QUALIFICATIONS,None
97,EDUCATION AND CREDENTIALS,None
98,QUALIFICATION SUMMARY,None
99,EDUCATIONAL AND PROFESSIONAL DEVELOPEMENT,None
100,Professional and Academic Qualification,None
101,Academics & Professional Chronicle,None
102,Professional and Academic Qualifications,None
103,EDUCATION & TECHNICAL QUALIFICATION,None
