,source,target
0,Employers,employer
1,Organization,organization
2,Organization,organisation
3,Organization,arrangement
4,Organization,organization
5,Organization,organisation
6,Organization,system
7,Organization,administration
8,Organization,governance
9,Organization,governing_body
10,Organization,establishment
11,Organization,brass
12,Organization,organization
13,Organization,organisation
14,Organization,organization
15,Organization,organisation
16,Organization,organization
17,Organization,organisation
18,Organization,system
19,Organization,organization
20,Organization,organisation
21,Organization,constitution
22,Organization,establishment
23,Organization,formation
24,Organization,organization
25,Organization,organisation
26,CONCERN,concern
27,CONCERN,concern
28,CONCERN,care
29,CONCERN,fear
30,CONCERN,concern
31,CONCERN,concern
32,CONCERN,worry
33,CONCERN,headache
34,CONCERN,vexation
35,CONCERN,business
36,CONCERN,concern
37,CONCERN,business_concern
38,CONCERN,business_organization
39,CONCERN,business_organisation
40,CONCERN,refer
41,CONCERN,pertain
42,CONCERN,relate
43,CONCERN,concern
44,CONCERN,come_to
45,CONCERN,bear_on
46,CONCERN,touch
47,CONCERN,touch_on
48,CONCERN,have-to_doe_with
49,CONCERN,concern
50,CONCERN,interest
51,CONCERN,occupy
52,CONCERN,worry
53,Experience,experience
54,Experience,experience
55,Experience,experience
56,Experience,experience
57,Experience,see
58,Experience,go_through
59,Experience,know
60,Experience,experience
61,Experience,live
62,Experience,experience
63,Experience,receive
64,Experience,have
65,Experience,get
66,Experience,feel
67,Experience,experience
68,Experience,have
69,Experience,experience
70,Organisation,administration
71,Organisation,governance
72,Organisation,governing_body
73,Organisation,establishment
74,Organisation,brass
75,Organisation,organization
76,Organisation,organisation
77,Organisation,organization
78,Organisation,organisation
79,Organisation,arrangement
80,Organisation,organization
81,Organisation,organisation
82,Organisation,system
83,Organisation,organization
84,Organisation,organisation
85,Organisation,system
86,Organisation,organization
87,Organisation,organisation
88,Organisation,organization
89,Organisation,organisation
90,Organisation,constitution
91,Organisation,establishment
92,Organisation,formation
93,Organisation,organization
94,Organisation,organisation
95,PROFESSIONAL,professional
96,PROFESSIONAL,professional_person
97,PROFESSIONAL,professional
98,PROFESSIONAL,pro
99,PROFESSIONAL,master
100,PROFESSIONAL,professional
101,PROFESSIONAL,professional
102,PROFESSIONAL,professional
103,PROFESSIONAL,professional
104,PROFESSIONAL,professional
105,PROFESSIONAL,professional
106,Employer,employer
107,EMPLOYMENT,employment
108,EMPLOYMENT,employ
109,EMPLOYMENT,employment
110,EMPLOYMENT,work
111,EMPLOYMENT,employment
112,EMPLOYMENT,engagement
113,EMPLOYMENT,use
114,EMPLOYMENT,usage
115,EMPLOYMENT,utilization
116,EMPLOYMENT,utilisation
117,EMPLOYMENT,employment
118,EMPLOYMENT,exercise
119,EXPERIENCES,experience
120,EXPERIENCES,experience
121,EXPERIENCES,experience
122,EXPERIENCES,experience
123,EXPERIENCES,see
124,EXPERIENCES,go_through
125,EXPERIENCES,know
126,EXPERIENCES,experience
127,EXPERIENCES,live
128,EXPERIENCES,experience
129,EXPERIENCES,receive
130,EXPERIENCES,have
131,EXPERIENCES,get
132,EXPERIENCES,feel
133,EXPERIENCES,experience
134,EXPERIENCES,have
135,EXPERIENCES,experience
136,Summary,summary
137,Summary,sum-up
138,Summary,drumhead
139,Summary,summary
140,Summary,compendious
141,Summary,compact
142,Summary,succinct
143,Summary,summary
144,SYNOPSIS,outline
145,SYNOPSIS,synopsis
146,SYNOPSIS,abstract
147,SYNOPSIS,precis
148,Internships,internship
149,WORK,work
150,WORK,work
151,WORK,piece_of_work
152,WORK,employment
153,WORK,work
154,WORK,study
155,WORK,work
156,WORK,work
157,WORK,workplace
