,source,target
0,Professional Experiences,None
1,Work Experience,None
2,Corporate Experience and Projects,None
3,Summary of Skills and Experience,None
4,Experience Summary,None
5,EXPERIENCE DETAILS,None
6,Professional Summary,None
7,Dates of employment,None
8,Career Contour,None
9,WORKEXPERIENCE,None
10,PROFESSIONAL SNAPSHOT,None
11,EMPLOYMENT SUMMARY,None
12,Work History,None
13,EXPERIENCE?PROFILE,None
14,TECHNICAL EXPERIENCE SUMMARY,None
15,WORK SUMMARY,None
16,EXPERIENCE SUMARRY,None
17,EMPLOYEMENT DETAILS,None
18,Work Profile,None
19,Career Summary,None
20,INDUSTRY EXPERIENCE,None
21,Professional Experience,None
22,PROFESSIONAL EXPERIENCE SUMMARY,None
23,Company Name,None
24,ORGANISATIONAL EXPERIENCE,None
25,Employers,leader
26,Experience Overview,None
27,Current Organization,None
28,Work Experice,None
29,PROFESSIONAL SUMMERY,None
30,EMPLOYMENT DETAILS,None
31,CAREER HIGHLIGHTS,None
32,Current Position,None
33,Professional Profile,None
34,Name of the Organization,None
35,Employment History,None
36,Experience Prior,None
37,Career Progression,None
38,Career Profile,None
39,Organization,social_group
40,Current Work Experience,None
41,Currently working with,None
42,CONCERN,interest
43,CAREER CHRONICLE,None
44,Last employement,None
45,EMPLOYER LIST,None
46,Organizational Experience,None
47,AREAS OF EXCELLENCE,None
48,Industrial Experience,None
49,WORK EXPERIENCE SUMMARY,None
50,Career Growth Path,None
51,CARRIER HIGHLIGHTS,None
52,Top Three Organization Scan,None
53,Other Previous Employment,None
54,SUMMARY OF EXPERIENCE,None
55,EXECUTIVE SUMMARY,None
56,Job Experience,None
57,Job History,None
58,Experience,education
59,Job Profile,None
60,RELEVENT EXPERIENCE,None
61,Current Employer,None
62,Previous Employer,None
63,Career Conspectus,None
64,Technical Exposure,None
65,Organisation,body
66,PROFESSIONAL,adult
67,Experience Profile,None
68,Employment Experience,None
69,Career Snapshot,None
70,PROF SUMMARY,None
71,WORKING EXPERIENCE,None
72,Details of Work Experience,None
73,Working Profile,None
74,Job Title History,None
75,ORGANISATIONAL EXPERIENCES,None
76,PROFESSIONAL PREFACE,None
77,Summary of Work Experience,None
78,WORK & PROJECT EXPERIENCE,None
79,EMPLOYMENT RECITAL,None
80,Professional Abridgement,None
81,Employer Summary,None
82,PROFESSIONAL SYNOPSIS,None
83,Previous Organization,None
84,Current Company,None
85,Previous Company,None
86,Experience / Job History,None
87,Employer,leader
88,EMPLOYMENT PROFILE,None
89,CAREER ABSTRACT,None
90,IT Experience,None
91,Previous Organizations,None
92,Employment Schedule,None
93,PROFESSIONAL EXPOSURE,None
94,Employment Highlight,None
95,Name of the Employer,None
96,ORGANIZATIONAL EXPERIENCE SUMMARY,None
97,EMPLOYMENT,state
98,Experience Chronology,None
99,CAREER SCAN,None
100,Professional Work Profile,None
101,Experience Chronicle,None
102,EXPERIENCES,education
103,Relevant Job Experience,None
104,EMPLOYMENT SCAN,None
105,Experience Specifics,None
106,User Development Experience,None
107,Career Information,None
108,> Job History,None
109,OCCUPATIONAL CONTOUR,None
110,Company Experience,None
111,EXECUTIVE SYNOPSIS,None
112,Summary,statement
113,EMPLOYER DETAILS,None
114,Total Work Experience,None
115,SYNOPSIS,summary
116,INDUSTRY EXPOSURE & EXPERIENCE,None
117,Career Recital,None
118,ORGANISATIONAL DETAILS,None
119,Name of Organization,None
120,CAREER GRAPH,None
121,Professional Organizations,None
122,Synopsis of Experience,None
123,Internships,position
124,PRESENT STATUS,None
125,Present Employer,None
126,Previous Employers,None
127,Work Experience Details,None
128,ORGANISATIONAL SCAN,None
129,Professional Work experience,None
130,Current work,None
131,Previous work,None
132,ORGANIZATIONAL SCAN,None
133,BUSINESS EXPERIENCE,None
134,Total Experience,None
135,CompanyExperience,None
136,CURRENT COMPANY AND WORK OF EXPERIENCE,None
137,Professional Affiliations,None
138,Work Expertise,None
139,Xperience,None
140,Employments History,None
141,CAREER HISTORY,None
142,PROFESSIONAL ATTRIBUTES,None
143,Total Work Experience:,None
144,WORK,activity
145,WORK EXPER I ENCE,None
146,Expèrience,None
147,ience,None
148,Exper,None
149,O RGANIZATIONAL E XPERIENCE,None
150,EXPERINCE,None
151,DOMAIN EXPERICENCE,None
152,Work experience:,None
153,Previous Employments,None
154,Detailed Experience,None
155,Work Chronology,None
156,EXPERIANCE,None
157,EXPERIENCE,education
158,Detail,fact
159,DETAILED,elaborate
160,Expr,None
161,Experiance,None
162,PROFSESIONAL,None
163,TOTALEXPERIENCE,None
164,ABSTRACT,concept
165,WorkExp,None
166,Previuos,None
167,CONTOUR,isometric_line
168,PROFESSIOANAL,None
169,Exprience,None
170,EMPLOYEMENT,None
171,organization,social_group
172,EXPEREINCE,None
173,EXPRIENCE,None
174,CHRONOLOGY,temporal_relation
175,PROFESSIONALEXPERIENCE,None
176,EXPIERENCE,None
177,EXPIRIENCE,None
178,PROJECTEXPERIENCE,None
179,Experiences,education
180,PROFESSIONNAL,None
181,EXPRERINCE,None
182,TotalExperience,None
183,ProfessionalExperience,None
