,source,target
0,Professional Experiences,None
1,Work Experience,None
2,Corporate Experience and Projects,None
3,Summary of Skills and Experience,None
4,Experience Summary,None
5,EXPERIENCE DETAILS,None
6,Professional Summary,None
7,Dates of employment,None
8,Career Contour,None
9,WORKEXPERIENCE,None
10,PROFESSIONAL SNAPSHOT,None
11,EMPLOYMENT SUMMARY,None
12,Work History,None
13,EXPERIENCE?PROFILE,None
14,TECHNICAL EXPERIENCE SUMMARY,None
15,WORK SUMMARY,None
16,EXPERIENCE SUMARRY,None
17,EMPLOYEMENT DETAILS,None
18,Work Profile,None
19,Career Summary,None
20,INDUSTRY EXPERIENCE,None
21,Professional Experience,None
22,PROFESSIONAL EXPERIENCE SUMMARY,None
23,Company Name,None
24,ORGANISATIONAL EXPERIENCE,None
25,Employers,boss
26,Employers,master
27,Employers,mistress
28,Employers,padrone
29,Employers,slave_driver
30,Experience Overview,None
31,Current Organization,None
32,Work Experice,None
33,PROFESSIONAL SUMMERY,None
34,EMPLOYMENT DETAILS,None
35,CAREER HIGHLIGHTS,None
36,Current Position,None
37,Professional Profile,None
38,Name of the Organization,None
39,Employment History,None
40,Experience Prior,None
41,Career Progression,None
42,Career Profile,None
43,Organization,adhocracy
44,Organization,affiliate
45,Organization,alliance
46,Organization,association
47,Organization,blue
48,Organization,bureaucracy
49,Organization,company
50,Organization,defense
51,Organization,deputation
52,Organization,enterprise
53,Organization,establishment
54,Organization,federation
55,Organization,fiefdom
56,Organization,fire_brigade
57,Organization,force
58,Organization,girl_scouts
59,Organization,grey
60,Organization,hierarchy
61,Organization,host
62,Organization,institution
63,Organization,line_of_defense
64,Organization,line_organization
65,Organization,machine
66,Organization,machine
67,Organization,musical_organization
68,Organization,nongovernmental_organization
69,Organization,party
70,Organization,peace_corps
71,Organization,polity
72,Organization,pool
73,Organization,professional_organization
74,Organization,quango
75,Organization,tammany_hall
76,Organization,union
77,Organization,unit
78,Current Work Experience,None
79,Currently working with,None
80,CONCERN,matter
81,CONCERN,part
82,CONCERN,personal_business
83,CONCERN,point_of_honor
84,CONCERN,worldly_concern
85,CAREER CHRONICLE,None
86,Last employement,None
87,EMPLOYER LIST,None
88,Organizational Experience,None
89,AREAS OF EXCELLENCE,None
90,Industrial Experience,None
91,WORK EXPERIENCE SUMMARY,None
92,Career Growth Path,None
93,CARRIER HIGHLIGHTS,None
94,Top Three Organization Scan,None
95,Other Previous Employment,None
96,SUMMARY OF EXPERIENCE,None
97,EXECUTIVE SUMMARY,None
98,Job Experience,None
99,Job History,None
100,Experience,familiarization
101,Experience,woodcraft
102,Job Profile,None
103,RELEVENT EXPERIENCE,None
104,Current Employer,None
105,Previous Employer,None
106,Career Conspectus,None
107,Technical Exposure,None
108,Organisation,county_council
109,Organisation,curia
110,Organisation,executive
111,Organisation,government_officials
112,Organisation,judiciary
113,Organisation,management
114,Organisation,top_brass
115,PROFESSIONAL,careerist
116,PROFESSIONAL,craftsman
117,PROFESSIONAL,critic
118,PROFESSIONAL,educator
119,PROFESSIONAL,health_professional
120,PROFESSIONAL,lawyer
121,PROFESSIONAL,librarian
122,PROFESSIONAL,practitioner
123,PROFESSIONAL,publisher
124,PROFESSIONAL,yuppie
125,Experience Profile,None
126,Employment Experience,None
127,Career Snapshot,None
128,PROF SUMMARY,None
129,WORKING EXPERIENCE,None
130,Details of Work Experience,None
131,Working Profile,None
132,Job Title History,None
133,ORGANISATIONAL EXPERIENCES,None
134,PROFESSIONAL PREFACE,None
135,Summary of Work Experience,None
136,WORK & PROJECT EXPERIENCE,None
137,EMPLOYMENT RECITAL,None
138,Professional Abridgement,None
139,Employer Summary,None
140,PROFESSIONAL SYNOPSIS,None
141,Previous Organization,None
142,Current Company,None
143,Previous Company,None
144,Experience / Job History,None
145,Employer,boss
146,Employer,master
147,Employer,mistress
148,Employer,padrone
149,Employer,slave_driver
150,EMPLOYMENT PROFILE,None
151,CAREER ABSTRACT,None
152,IT Experience,None
153,Previous Organizations,None
154,Employment Schedule,None
155,PROFESSIONAL EXPOSURE,None
156,Employment Highlight,None
157,Name of the Employer,None
158,ORGANIZATIONAL EXPERIENCE SUMMARY,None
159,Experience Chronology,None
160,CAREER SCAN,None
161,Professional Work Profile,None
162,Experience Chronicle,None
163,EXPERIENCES,familiarization
164,EXPERIENCES,woodcraft
165,Relevant Job Experience,None
166,EMPLOYMENT SCAN,None
